"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","30건","","","158,766","-","-","-"
"1","활장어(먹장어)","나가사키현","2015-04-23","2,057","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-04-23","7,600","불검출","불검출","적합"
"3","활백합(Mercenaria~)","도쿄도","2015-04-23","7,780","불검출","불검출","적합"
"4","활돔(강담돔)","고치현","2015-04-23","120","불검출","불검출","적합"
"5","냉동갈치","후쿠오카현","2015-04-23","55,476","불검출","불검출","적합"
"6","활장어(먹장어)","후쿠오카현","2015-04-23","1,642","불검출","불검출","적합"
"7","냉장갈치","야마구치현","2015-04-23","272","불검출","불검출","적합"
"8","냉장홍어","야마구치현","2015-04-23","830","불검출","불검출","적합"
"9","냉장민어(수조기)","야마구치현","2015-04-23","69","불검출","불검출","적합"
"10","활꼬막(새꼬막)","후쿠오카현","2015-04-23","3,720","불검출","불검출","적합"
"11","활가리비","홋카이도","2015-04-23","6,671","불검출","불검출","적합"
"12","활대합(북방대합)","홋카이도","2015-04-23","530","불검출","불검출","적합"
"13","냉장명태","홋카이도","2015-04-23","1,992","불검출","불검출","적합"
"14","냉장명태","홋카이도","2015-04-23","2,796","불검출","불검출","적합"
"15","냉장명태","홋카이도","2015-04-23","2,784","불검출","불검출","적합"
"16","냉장명태","홋카이도","2015-04-23","1,118","불검출","불검출","적합"
"17","냉장홍어","홋카이도","2015-04-23","1,633","불검출","불검출","적합"
"18","냉장홍어","홋카이도","2015-04-23","677","불검출","불검출","적합"
"19","냉장명태","홋카이도","2015-04-23","8,723","불검출","불검출","적합"
"20","활꼬막(새꼬막)","사가현","2015-04-23","3,000","불검출","불검출","적합"
"21","냉장준치","구마모토현","2015-04-23","336","불검출","불검출","적합"
"22","활가리비","홋카이도","2015-04-23","7,086","불검출","불검출","적합"
"23","냉동갈치","나가사키현","2015-04-23","3,670","불검출","불검출","적합"
"24","냉동눈다랑어(목살,횟감)","태평양","2015-04-23","6,080","불검출","불검출","적합"
"25","냉동눈다랑어(F,횟감)","태평양","2015-04-23","4,500","불검출","불검출","적합"
"26","냉동황새치(F,횟감)","인도양","2015-04-23","300","불검출","불검출","적합"
"27","활꼬막(새꼬막)","후쿠오카현","2015-04-23","5,880","불검출","불검출","적합"
"28","활가리비","홋카이도","2015-04-23","7,480","불검출","불검출","적합"
"29","활가리비","홋카이도","2015-04-23","6,973","불검출","불검출","적합"
"30","활가리비","홋카이도","2015-04-23","6,971","불검출","불검출","적합"
