"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","17건","-","-","56,828","-","-","-"
"1","냉장가오리","야마구치현","2015-4-20","110","불검출","불검출","적합"
"2","냉동새치(황새치,F,횟감) 태평양","","2015-4-20","2,650","불검출","불검출","적합"
"3","냉동다랑어(남방참다랑어) 인도양","","2015-4-20","3,755","불검출","불검출","적합"
"4","냉동다랑어(눈다랑어,F,횟감)","대서양","2015-4-20","1,313","불검출","불검출","적합"
"5","냉동다랑어(눈다랑어,목살) 대서양","","2015-4-20","2,730","불검출","불검출","적합"
"6","냉동다랑어(눈다랑어,F,횟감)","태평양","2015-4-20","3,000","불검출","불검출","적합"
"7","냉장홍어","홋카이도","2015-4-20","5,852","불검출","불검출","적합"
"8","냉장명태","홋카이도","2015-4-20","4,188","불검출","불검출","적합"
"9","냉장명태","홋카이도","2015-4-20","4,176","불검출","불검출","적합"
"10","냉장명태","홋카이도","2015-4-20","130","불검출","불검출","적합"
"11","냉장명태","홋카이도","2015-4-20","1,904","불검출","불검출","적합"
"12","냉장홍어","홋카이도","2015-4-20","1,385","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2015-4-20","294","불검출","불검출","적합"
"14","냉장명태","홋카이도","2015-4-20","8,202","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2015-4-20","9,552","불검출","불검출","적합"
"16","활가리비","홋카이도","2015-4-20","6,882","불검출","불검출","적합"
"17","활대합(북방대합)","홋카이도","2015-4-20","705","불검출","불검출","적합"
