"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"4","냉동명태(F)","러시아","2019-08-20","24,000","불검출","불검출","적합"
"5","냉동대구(F)","러시아","2019-08-20","12,000","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2019-08-20","24,000","불검출","불검출","적합"
"7","냉동갈치","남아프리카공화국","2019-08-20","21,650","불검출","불검출","적합"
"8","냉동명태(F)","러시아","2019-08-20","21,750","불검출","불검출","적합"
"9","냉동명태(F)","러시아","2019-08-20","19,500","불검출","불검출","적합"
"10","냉동명태(F)","러시아","2019-08-20","24,000","불검출","불검출","적합"
"11","냉동명태(F)","러시아","2019-08-20","20,630","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2019-08-20","23,250","불검출","불검출","적합"
"13","냉동대구(F)","러시아","2019-08-20","1,800","불검출","불검출","적합"
"합계","","-","-","246,030","-","-","-"
