"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:100Bq/kg)","판정"
"83","소스","효고현","2019-06-12","2,520","불검출","불검출","적합"
"84","캔디류","나라현","2019-06-21","648","불검출","불검출","적합"
"85","화이트초콜릿","가나가와현","2019-06-11","672","불검출","불검출","적합"
"86","캔디류","나라현","2019-06-21","674","불검출","불검출","적합"
"87","캔디류","나라현","2019-06-20","2,354","불검출","불검출","적합"
"88","소스","효고현","2019-06-12","2,520","불검출","불검출","적합"
"89","유탕면","도치기현","2019-06-10","288","불검출","불검출","적합"
"90","혼합제제","효고현","2019-07-02","34","불검출","불검출","적합"
"91","과자","이바라키현","2019-04-11","194","불검출","불검출","적합"
"92","캔디류","지바현","2019-06-11","41","불검출","불검출","적합"
"93","캔디류","지바현","2019-06-12","58","불검출","불검출","적합"
"94","캔디류","지바현","2019-06-06","42","불검출","불검출","적합"
"95","캔디류","지바현","2019-06-04","42","불검출","불검출","적합"
"96","탄산음료","오사카부","2019-06-01","3,600","불검출","불검출","적합"
"97","캔디류","나라현","2019-06-19","6,912","불검출","불검출","적합"
"98","빵류","나가노현","2019-06-19","224","불검출","불검출","적합"
"99","과자","니가타현","2019-06-19","65","불검출","불검출","적합"
"100","곡류가공품","히로시마현","2019-06-19","110","불검출","불검출","적합"
"101","혼합제제","효고현","2019-06-20","10","불검출","불검출","적합"
"102","맥주","오이타현","2019-06-20","196,464","불검출","불검출","적합"
"103","맥주","오이타현","2019-06-11","25,040","불검출","불검출","적합"
"104","맥주","오이타현","2019-06-11","4,000","불검출","불검출","적합"
"105","맥주","오이타현","2019-06-06","63,756","불검출","불검출","적합"
"106","청주","효고현","2019-05-22","108","불검출","불검출","적합"
"107","청주","효고현","2019-06-06","216","불검출","불검출","적합"
"108","청주","효고현","2019-05-13","216","불검출","불검출","적합"
"109","청주","효고현","2019-05-10","302","불검출","불검출","적합"
"110","청주","효고현","2019-06-13","252","불검출","불검출","적합"
"111","청주","효고현","2019-05-23","1,620","불검출","불검출","적합"
"112","청주","효고현","2019-06-06","3,240","불검출","불검출","적합"
"113","캔디류","나라현","2019-06-21","576","불검출","불검출","적합"
"114","소스","효고현","2019-06-10","882","불검출","불검출","적합"
"115","캔디류","나라현","2019-06-17","576","불검출","불검출","적합"
"116","캔디류","나라현","2019-06-13","5,184","불검출","불검출","적합"
"117","캔디류","미에현","2019-05-30","296","불검출","불검출","적합"
