"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 141건","","","","510,940","","",""
"1","기타 주류","야마나시현","2019-06-13","1,874","불검출","불검출","적합"
"2","혼합제제","시가현","2019-06-14","50","불검출","불검출","적합"
"3","혼합제제","시가현","2019-07-03","50","불검출","불검출","적합"
"4","캔디류","아이치현","2019-06-28","1,800","불검출","불검출","적합"
"5","캔디류","아이치현","2019-07-02","3,456","불검출","불검출","적합"
"6","혼합제제","시가현","2019-06-28","40","불검출","불검출","적합"
"7","혼합제제","시가현","2019-06-28","25","불검출","불검출","적합"
"8","혼합제제","효고현","2019-06-20","17","불검출","불검출","적합"
"9","가공두부","후쿠오카현","2019-06-15","9,000","불검출","불검출","적합"
"10","가공두부","후쿠오카현","2019-03-27","4,680","불검출","불검출","적합"
"11","혼합제제","효고현","2019-06-21","102","불검출","불검출","적합"
"12","혼합장","나가노현","2019-05-30","2,000","불검출","불검출","적합"
"13","혼합장","나가노현","2019-05-30","1,000","불검출","불검출","적합"
"14","혼합제제","효고현","2019-06-21","30","불검출","불검출","적합"
"15","소스","시즈오카현","2019-06-26","550","불검출","불검출","적합"
