"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 77건","","","","128,125","","",""
"1","청주","교토부","2018-07-02","360","불검출","불검출","적합"
"2","청주","교토부","2018-07-02","360","불검출","불검출","적합"
"3","소스","야마가타현","2018-07-17","6,620","불검출","불검출","적합"
"4","폴리글리시톨시럽","태국","2018-06-26","10,120","불검출","불검출","적합"
"5","혼합제제","시즈오카현","2018-07-11","50","불검출","불검출","적합"
"6","혼합제제","시즈오카현","2018-06-07","50","불검출","불검출","적합"
"7","혼합제제","시즈오카현","2018-07-10","70","불검출","불검출","적합"
"8","복합조미식품","에히메현","2018-08-09","2,400","불검출","불검출","적합"
"9","카레(커리)","니가타현","2018-05-23","3,036","불검출","불검출","적합"
"10","혼합제제","효고현","2018-07-31","1,000","불검출","불검출","적합"
"11","초콜릿가공품","훗카이도","2018-07-10","54","불검출","불검출","적합"
"12","빵류","미에현","2018-08-22","469","불검출","불검출","적합"
"13","당류가공품","오카야마현","2018-06-13","16,000","불검출","불검출","적합"
"14","풀루란","오카야마현","2018-06-18","110","불검출","불검출","적합"
