"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동가자미(각시가자미)","러시아","2018-09-04","22,099","적합","적합","적합"
"2","냉동다랑어(눈다랑어,목살)","대만","2018-09-04","1,800","적합","적합","적합"
"3","냉동게(꽃게,절단)","바레인","2018-09-04","18,240","적합","적합","적합"
"4","냉동명태(F)","러시아","2018-09-04","20,384","적합","적합","적합"
"5","냉동명태(F)","러시아","2018-09-04","13,680","적합","적합","적합"
"6","냉동가자미(각시가자미,F)","러시아","2018-09-04","7,375","적합","적합","적합"
"7","냉동가자미(각시가자미)","러시아","2018-09-04","23,000","적합","적합","적합"
"8","냉동명태","러시아","2018-09-04","1,523,973","적합","적합","적합"
"9","냉동새치(황새치)","바누아투","2018-09-04","17,447","적합","적합","적합"
"10","냉동가자미(각시가자미)","러시아","2018-09-04","22,050","적합","적합","적합"
"11","냉동가자미(각시가자미)","러시아","2018-09-04","21,600","적합","적합","적합"
"합계","","-","-","1,691,648","-","-","-"
