"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 50건","","","","619,104","","",""
"1","맥주","후쿠오카현","2018-08-02","52,344","불검출","불검출","적합"
"2","볶은커피","효고현","2018-06-04","76","불검출","불검출","적합"
"3","인스턴트커피","군마현","2018-05-31","216","불검출","불검출","적합"
"4","기타 수산물가공품","훗카이도","2018-08-17","450","불검출","불검출","적합"
"5","절임식품","가고시마현","2018-08-20","530","불검출","불검출","적합"
"6","복합조미식품","후쿠오카현","2018-07-13","200","불검출","불검출","적합"
"7","소스","오이타현","2018-07-27","2,400","불검출","불검출","적합"
"8","혼합제제","오사카부","2018-05-25","660","불검출","불검출","적합"
"9","소스","도쿄도","2018-07-06","33","불검출","불검출","적합"
"10","혼합제제","시가현","2018-08-07","40","불검출","불검출","적합"
"11","혼합제제","시가현","2017-08-30","1,100","불검출","불검출","적합"
"12","혼합제제","시가현","2018-08-08","250","불검출","불검출","적합"
"13","혼합제제","오카야마현","2018-08-08","60","불검출","불검출","적합"
"14","카레(커리)분","시가현","2018-05-15","300","불검출","불검출","적합"
