"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 96건","","","","522,167","","",""
"1","발효식초","오사카부","2017-05-11","108","불검출","불검출","적합"
"2","글리세린지방산
에스테르","효고현","2017-05-26","225","불검출","불검출","적합"
"3","청주","이바라키현","2017-06-07","259","불검출","불검출","적합"
"4","청주","이바라키현","2017-06-07","259","불검출","불검출","적합"
"5","청주","효고현","2017-05-19","5,400","불검출","불검출","적합"
"6","청주","효고현","2017-05-23","12,000","불검출","불검출","적합"
"7","과자(스낵과자)","사이타마현","2017-01-30","2,112","불검출","불검출","적합"
"8","청주","아키타현","2017-06-19","173","불검출","불검출","적합"
"9","청주","아키타현","2017-06-19","86","불검출","불검출","적합"
"10","청주","아키타현","2017-06-19","130","불검출","불검출","적합"
"11","청주","아키타현","2017-06-19","72","불검출","불검출","적합"
"12","청주","사가현","2017-03-24","173","불검출","불검출","적합"
