"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 143건","","","","461,440","","",""
"1","소스류","나가사키현","2017-06-01","216","불검출","불검출","적합"
"2","소스류","후쿠오카현","2017-06-08","180","불검출","불검출","적합"
"3","소스류","시즈오카현","2017-05-25","720","불검출","불검출","적합"
"4","청주","기후현","2017-06-01","86","불검출","불검출","적합"
"5","냉면","효고현","2017-05-26","1,920","불검출","불검출","적합"
"6","과자(스낵과자)","아이치현","2017-06-05","141","불검출","불검출","적합"
"7","밀크초콜릿","기후현","2017-06-08","2","불검출","불검출","적합"
"8","준초콜릿","기후현","2017-05-23","2","불검출","불검출","적합"
"9","농산물조림","도쿠시마현","2017-04-20","132","불검출","불검출","적합"
"10","된장","나가노현","2017-06-14","1,200","불검출","불검출","적합"
"11","혼합장","효고현","2017-04-11","816","불검출","불검출","적합"
"12","기타주류","후쿠오카현","2017-06-09","324","불검출","불검출","적합"
"13","소주","미야자키현","2017-06-08","86","불검출","불검출","적합"
