"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동가자미(첨치가자미,S,포장횟
감)","미국","2017-07-17","1,616","불검출","불검출","적합"
"2","냉동가자미(각시가자미)","러시아","2017-07-17","22,500","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2017-07-17","21,450","불검출","불검출","적합"
"4","냉동가자미(각시가자미)","미국","2017-07-17","21,350","불검출","불검출","적합"
"5","냉동명태","러시아","2017-07-17","18,000","불검출","불검출","적합"
"6","냉동가자미(각시가자미,F)","러시아","2017-07-17","8,000","불검출","불검출","적합"
"7","냉동대구(머리)","러시아","2017-07-17","9,780","불검출","불검출","적합"
"8","냉동가자미(각시가자미)","러시아","2017-07-17","20,250","불검출","불검출","적합"
"9","냉동가자미(각시가자미)","러시아","2017-07-17","22,050","불검출","불검출","적합"
"10","냉동가자미(각시가자미)","러시아","2017-07-17","23,000","불검출","불검출","적합"
"11","냉동가자미(각시가자미)","러시아","2017-07-17","22,500","불검출","불검출","적합"
"합계","","-","-","190,496","-","-","-"
