"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 63건","","","","275,923","","",""
"1","인스턴트커피","오사카부","2017-06-06","65","불검출","불검출","적합"
"2","인스턴트커피","오사카부","2017-06-01","65","불검출","불검출","적합"
"3","볶은커피","효고현","2017-06-12","30,384","불검출","불검출","적합"
"4","볶은커피","시즈오카현","2017-05-16","6,000","불검출","불검출","적합"
"5","볶은커피","효고현","2017-06-14","77","불검출","불검출","적합"
"6","볶은커피","사이타마현","2017-04-24","500","불검출","불검출","적합"
"7","곡류가공품","시즈오카현","2017-05-17","3,000","불검출","불검출","적합"
"8","소스류","히로시마현","2017-04-21","5,847","불검출","불검출","적합"
"9","소스류","히로시마현","2017-06-05","1,320","불검출","불검출","적합"
"10","소스류","히로시마현","2017-05-26","1,935","불검출","불검출","적합"
"11","소스류","히로시마현","2017-05-31","648","불검출","불검출","적합"
"12","소스류","히로시마현","2017-05-17","1,980","불검출","불검출","적합"
"13","소스류","히로시마현","2017-04-25","1,139","불검출","불검출","적합"
