"검사결과
수입
제조일자","","","","","","",""
"순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"113","청주","시즈오카현","2018-06-28","86","불검출","불검출","적합"
"114","맥주","시가현","2018-06-11","1,200","불검출","불검출","적합"
"115","캔디류","나가사키현","2018-07-04","155","불검출","불검출","적합"
"116","캔디류","나가사키현","2018-07-04","100","불검출","불검출","적합"
"117","캔디류","나가사키현","2018-07-04","100","불검출","불검출","적합"
"118","캔디류","나가사키현","2018-07-04","100","불검출","불검출","적합"
"119","캔디류","나가사키현","2018-07-04","155","불검출","불검출","적합"
"120","청주","아이치현","2018-06-04","810","불검출","불검출","적합"
"121","청주","아이치현","2018-06-14","86","불검출","불검출","적합"
"122","청주","아이치현","2018-06-14","173","불검출","불검출","적합"
"123","청주","아이치현","2018-07-24","1,296","불검출","불검출","적합"
"124","유탕면","후쿠오카현","2018-07-06","224","불검출","불검출","적합"
