"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 151건","","","","574,945","","",""
"1","청주","효고현","2018-06-19","43","불검출","불검출","적합"
"2","소주","오이타현","2018-07-02","43","불검출","불검출","적합"
"3","마요네즈","시즈오카현","2018-07-18","840","불검출","불검출","적합"
"4","소스","가나가와현","2018-07-09","6","불검출","불검출","적합"
"5","소스","가나가와현","2018-06-18","8","불검출","불검출","적합"
"6","소스","가나가와현","2018-07-24","466","불검출","불검출","적합"
"7","소스","가나가와현","2018-07-23","482","불검출","불검출","적합"
"8","소스","가나가와현","2018-07-24","811","불검출","불검출","적합"
"9","소스","가나가와현","2018-07-24","259","불검출","불검출","적합"
"10","소스","가나가와현","2018-07-24","461","불검출","불검출","적합"
"11","소스","가나가와현","2018-07-23","3,522","불검출","불검출","적합"
"12","기타 농산가공품","미에현","2018-07-25","120","불검출","불검출","적합"
"13","소스","가나가와현","2018-07-20","241","불검출","불검출","적합"
