"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 148건","","","","442,437","","",""
"1","소스","후쿠오카현","2018-07-19","7,596","불검출","불검출","적합"
"2","과자","아이치현","2018-07-23","168","불검출","불검출","적합"
"3","혼합제제","미에현","2018-08-01","300","불검출","불검출","적합"
"4","고형차","아이치현","2018-07-26","20","불검출","불검출","적합"
"5","소스","히로시마현","2018-06-07","2,331","불검출","불검출","적합"
"6","소스","히로시마현","2018-07-11","2,457","불검출","불검출","적합"
"7","절임식품","와카야마현","2018-07-26","26","불검출","불검출","적합"
"8","절임식품","와카야마현","2018-07-26","53","불검출","불검출","적합"
"9","소스","히로시마현","2018-07-06","420","불검출","불검출","적합"
"10","소스","히로시마현","2018-06-19","425","불검출","불검출","적합"
"11","발효식초","히로시마현","2018-06-18","1,102","불검출","불검출","적합"
"12","소스","히로시마현","2018-06-21","2,898","불검출","불검출","적합"
"13","소스","히로시마현","2018-07-12","660","불검출","불검출","적합"
