"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","18건","-","-","69,896","-","-","-"
"1","활돔(벵에돔)","오이타현","2015-3-6","1,250","불검출","불검출","적합"
"2","활전복","나가사키현","2015-3-6","168","불검출","불검출","적합"
"3","구운김","사가현","2015-3-6","67","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2015-3-6","7,773","불검출","불검출","적합"
"5","활돔(참돔)","에히메현","2015-3-6","2,937","불검출","불검출","적합"
"6","활돔(참돔)","에히메현","2015-3-6","4,866","불검출","불검출","적합"
"7","활돔(참돔)","구마모토현","2015-3-6","10,399","불검출","불검출","적합"
"8","활돔(참돔)","구마모토현","2015-3-6","10,533","불검출","불검출","적합"
"9","활가리비","홋카이도","2015-3-6","7,207","불검출","불검출","적합"
"10","냉장민어(수조기)","야마구치현","2015-3-6","60","불검출","불검출","적합"
"11","냉장가오리","야마구치현","2015-3-6","260","불검출","불검출","적합"
"12","냉장홍어","야마구치현","2015-3-6","600","불검출","불검출","적합"
"13","활가리비","홋카이도","2015-3-6","6,948","불검출","불검출","적합"
"14","활가리비","홋카이도","2015-3-6","7,248","불검출","불검출","적합"
"15","활꼬막","후쿠오카현","2015-3-6","1,060","불검출","불검출","적합"
"16","활꼬막(새꼬막)","후쿠오카현","2015-3-6","5,760","불검출","불검출","적합"
"17","냉동꼴뚜기(흰꼴뚜기)","나가사키현","2015-3-6","200","불검출","불검출","적합"
"18","냉동갈치","후쿠오카현","2015-3-6","2,560","불검출","불검출","적합"
