"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건43","-","-","128,905","-","-","-"
"1","마른다랑어
(
가다랑어 훈제
,
)","가고시마현","2016-01-29","1,000","불검출","불검출","적합"
"2","활장어 먹장어
(
)","나가사키현","2016-01-29","1,580","불검출","불검출","적합"
"3","활방어","고치현","2016-01-29","10,806","불검출","불검출","적합"
"4","활방어","고치현","2016-01-29","8,859","불검출","불검출","적합"
"5","활방어","에히메현","2016-01-29","2,827","불검출","불검출","적합"
"6","활방어","에히메현","2016-01-29","12,659","불검출","불검출","적합"
"7","활가리비","홋카이도","2016-01-29","6,770","불검출","불검출","적합"
"8","활가리비","홋카이도","2016-01-29","6,400","불검출","불검출","적합"
"9","냉동다랑어
(
남방참다랑어목살
,
)","인도양","2016-01-29","288","불검출","불검출","적합"
"10","냉장병어","에히메현","2016-01-29","376","불검출","불검출","적합"
"11","냉장돔 참돔(
)","야마구치현","2016-01-29","420","불검출","불검출","적합"
"12","냉장돔 황돔(
)","야마구치현","2016-01-29","60","불검출","불검출","적합"
"13","냉장준치","야마구치현","2016-01-29","80","불검출","불검출","적합"
"14","냉장가오리","야마구치현","2016-01-29","1,170","불검출","불검출","적합"
"15","냉장명태","홋카이도","2016-01-29","6,500","불검출","불검출","적합"
"16","냉장명태","홋카이도","2016-01-29","5,500","불검출","불검출","적합"
