"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장가오리","야마구치현","2016-01-29","910","불검출","불검출","적합"
"18","활가리비","홋카이도","2016-01-29","5,690","불검출","불검출","적합"
"19","활우렁쉥이","홋카이도","2016-01-29","1,760","불검출","불검출","적합"
"20","냉장갈치","야마구치현","2016-01-29","160","불검출","불검출","적합"
"21","냉장가오리","야마구치현","2016-01-29","1,360","불검출","불검출","적합"
"22","냉장병어","야마구치현","2016-01-29","70","불검출","불검출","적합"
"23","냉장돔 참돔(
)","야마구치현","2016-01-29","805","불검출","불검출","적합"
"24","냉장돔 황돔(
)","야마구치현","2016-01-29","210","불검출","불검출","적합"
"25","활우렁쉥이","홋카이도","2016-01-29","8,590","불검출","불검출","적합"
"26","냉장명태","홋카이도","2016-01-29","2,964","불검출","불검출","적합"
"27","냉장명태","홋카이도","2016-01-29","5,500","불검출","불검출","적합"
"28","활가리비","홋카이도","2016-01-29","2,962","불검출","불검출","적합"
"29","활가리비","홋카이도","2016-01-29","4,976","불검출","불검출","적합"
"30","냉장명태","홋카이도","2016-01-29","4,095","불검출","불검출","적합"
"31","냉장명태","홋카이도","2016-01-29","4,200","불검출","불검출","적합"
"32","냉장홍어","홋카이도","2016-01-29","362","불검출","불검출","적합"
"33","냉장명태","홋카이도","2016-01-29","4,082","불검출","불검출","적합"
"34","냉장명태","홋카이도","2016-01-29","4,200","불검출","불검출","적합"
