"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건37","-","-","151,164","-","-","-"
"1","활돔 참돔(
)","구마모토현","2016-02-02","21,243","불검출","불검출","적합"
"2","활가리비","홋카이도","2016-02-02","6,490","불검출","불검출","적합"
"3","활가리비","홋카이도","2016-02-02","7,038","불검출","불검출","적합"
"4","활문어","홋카이도","2016-02-02","2,907","불검출","불검출","적합"
"5","활가리비","홋카이도","2016-02-02","6,982","불검출","불검출","적합"
"6","냉동다랑어 눈다(
랑어 횟감
,F,
)","태평양","2016-02-02","1,065","불검출","불검출","적합"
"7","냉장돔 참돔(
)","야마구치현","2016-02-02","70","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-02-02","2,418","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-02-02","1,650","불검출","불검출","적합"
"10","냉장민어 수조기
(
)","야마구치현","2016-02-02","95","불검출","불검출","적합"
"11","냉장돔 황돔(
)","야마구치현","2016-02-02","255","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-02-02","2,418","불검출","불검출","적합"
"13","냉장가오리","야마구치현","2016-02-02","80","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-02-02","1,650","불검출","불검출","적합"
"15","냉장홍어","야마구치현","2016-02-02","170","불검출","불검출","적합"
"16","냉장홍어","홋카이도","2016-02-02","7,255","불검출","불검출","적합"
