"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"35","냉장민어 수조기
(
)","야마구치현","2016-02-01","201","불검출","불검출","적합"
"36","냉장가오리","야마구치현","2016-02-01","250","불검출","불검출","적합"
"37","냉장명태","홋카이도","2016-02-01","4,200","불검출","불검출","적합"
"38","냉장홍어","홋카이도","2016-02-01","334","불검출","불검출","적합"
"39","냉장명태","홋카이도","2016-02-01","4,095","불검출","불검출","적합"
"40","냉장명태","홋카이도","2016-02-01","4,200","불검출","불검출","적합"
"41","냉장명태","홋카이도","2016-02-01","1,800","불검출","불검출","적합"
"42","냉장갈치","와카야마현","2016-02-01","2,672","불검출","불검출","적합"
"43","냉장준치","와카야마현","2016-02-01","623","불검출","불검출","적합"
"44","냉장병어","와카야마현","2016-02-01","570","불검출","불검출","적합"
"45","냉장돔 참돔(
)","후쿠오카현","2016-02-01","240","불검출","불검출","적합"
"46","냉장홍어","홋카이도","2016-02-01","2,891","불검출","불검출","적합"
"47","냉장갈치","오이타현","2016-02-01","605","불검출","불검출","적합"
