"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:100Bq/kg)","판정"
"153","유탕면","나라현","2019-05-13","360","불검출","불검출","적합"
"154","복합조미식품","사이타마현","2019-04-24","150","불검출","불검출","적합"
"155","곡류가공품","군마현","2019-04-26","648","불검출","불검출","적합"
"156","소스","후쿠오카현","2019-05-14","800","불검출","불검출","적합"
"157","청주","훗카이도","2019-03-20","156","불검출","불검출","적합"
"158","복합조미식품","미에현","2019-04-25","24","불검출","불검출","적합"
"159","청주","사가현","2019-05-15","173","불검출","불검출","적합"
"160","청주","사가현","2019-05-14","259","불검출","불검출","적합"
"161","청주","사가현","2019-05-15","130","불검출","불검출","적합"
"162","액상차","와카야마현","2019-03-22","4,800","불검출","불검출","적합"
"163","산화마그네슘","도쿠시마현","2019-05-15","10,000","불검출","불검출","적합"
"164","숙면","가가와현","2019-05-20","2,400","불검출","불검출","적합"
"165","숙면","가가와현","2019-05-14","500","불검출","불검출","적합"
"166","숙면","니가타현","2019-05-31","5,000","불검출","불검출","적합"
"167","소스","가나가와현","2019-05-16","1,122","불검출","불검출","적합"
"168","용성비타민P","기후현","2019-04-17","61","불검출","불검출","적합"
"169","소스","나가사키현","2019-05-30","2,559","불검출","불검출","적합"
"170","소스","나가사키현","2019-05-27","1,261","불검출","불검출","적합"
"171","혼합장","훗카이도","2019-05-15","2,556","불검출","불검출","적합"
"172","합성향료","히로시마현","2019-05-30","45","불검출","불검출","적합"
"173","소스","도치기현","2019-04-05","131","불검출","불검출","적합"
"174","소스","군마현","2019-05-15","450","불검출","불검출","적합"
"175","곡류가공품","효고현","2019-05-07","4,624","불검출","불검출","적합"
"176","소스","아오모리현","2019-05-07","2,400","불검출","불검출","적합"
"177","카레(커리)","니가타현","2019-05-07","2,046","불검출","불검출","적합"
"178","카레(커리)","니가타현","2019-05-07","1,320","불검출","불검출","적합"
"179","카레(커리)","니가타현","2019-05-08","660","불검출","불검출","적합"
"180","카레(커리)","니가타현","2019-05-07","2,706","불검출","불검출","적합"
"181","캔디류","야마구치현","2019-04-06","154","불검출","불검출","적합"
"182","혼합장","훗카이도","2019-05-17","3,928","불검출","불검출","적합"
"183","곡류가공품","후쿠오카현","2019-05-23","4,920","불검출","불검출","적합"
"184","소스","후쿠오카현","2019-05-28","5,184","불검출","불검출","적합"
"185","소스","훗카이도","2019-05-17","2,760","불검출","불검출","적합"
"186","소스","훗카이도","2019-05-17","2,681","불검출","불검출","적합"
"187","혼합제제","효고현","2019-05-29","1,000","불검출","불검출","적합"
