"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 58건","","","","125,347","","",""
"1","과자","오사카부","2019-04-01","70","불검출","불검출","적합"
"2","액상차","시즈오카현","2019-05-01","1,200","불검출","불검출","적합"
"3","액상차","시가현","2019-05-01","9,600","불검출","불검출","적합"
"4","혼합제제","효고현","2019-05-31","34","불검출","불검출","적합"
"5","혼합제제","효고현","2019-06-03","51","불검출","불검출","적합"
"6","청주","오카야마현","2019-06-03","346","불검출","불검출","적합"
"7","청주","오카야마현","2019-06-03","130","불검출","불검출","적합"
"8","화이트초콜릿","훗카이도","2019-06-04","150","불검출","불검출","적합"
"9","절임식품","사이타마현","2019-05-21","280","불검출","불검출","적합"
"10","청주","시즈오카현","2019-05-13","10,368","불검출","불검출","적합"
"11","볶은커피","시즈오카현","2019-05-28","17,814","불검출","불검출","적합"
"12","청주","미에현","2019-03-29","86","불검출","불검출","적합"
"13","청주","미에현","2019-03-29","432","불검출","불검출","적합"
"14","청주","미에현","2019-03-29","173","불검출","불검출","적합"
"15","볶은커피","효고현","2019-05-21","2,790","불검출","불검출","적합"
