"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"13","캔디류(사탕)","미에현","2014-10-30","929","불검출","불검출","적합"
"14","청주","효고현","2014-11-28","108","불검출","불검출","적합"
"15","조미건어포류","훗카이도","2014-11-25","10","불검출","불검출","적합"
"16","청주","효고현","2014-10-31","108","불검출","불검출","적합"
"17","조미건어포류","훗카이도","2014-12-01","6","불검출","불검출","적합"
"18","과자(크래커)","아이치현","2014-11-24","22","불검출","불검출","적합"
"19","고형차","후쿠오카현","2014-12-19","100","불검출","불검출","적합"
"20","백설탕","후쿠오카현","2015-01-07","100","불검출","불검출","적합"
"21","청주","효고현","2014-11-19","432","불검출","불검출","적합"
"22","땅 콩 또 는 견 과 류
가공품","오사카부","2014-05-20","100","불검출","불검출","적합"
"23","청주","효고현","2014-12-03","302","불검출","불검출","적합"
"24","과자(크래커)","아이치현","2014-12-01","19","불검출","불검출","적합"
"25","청주","효고현","2014-10-24","30","불검출","불검출","적합"
"26","식초절임","히로시마현","2014-12-04","5","불검출","불검출","적합"
"27","청주","니가타현","2014-12-09","115","불검출","불검출","적합"
"28","청주","니가타현","2014-11-04","22","불검출","불검출","적합"
"29","드레싱","사가현","2014-12-09","9,216","불검출","불검출","적합"
"30","염화마그네슘","오카야마현","2014-12-16","17,000","불검출","불검출","적합"
"31","과자(스낵과자)","아이치현","2014-12-08","62","불검출","불검출","적합"
"32","빵류(케이크)","훗카이도","2014-10-24","128","불검출","불검출","적합"
"33","빵류(케이크)","훗카이도","2014-10-24","128","불검출","불검출","적합"
"34","빵류(케이크)","훗카이도","2014-09-10","160","불검출","불검출","적합"
"35","청주","아오모리현","2014-12-11","720","불검출","불검출","적합"
"36","가공두부","나가노현","2014-11-07","6,874","불검출","불검출","적합"
"37","금박","이시카와현","2014-12-19","0.05","불검출","불검출","적합"
"38","소스류","도치기현","2014-09-26","51","불검출","불검출","적합"
"39","알가공품","가고시마현","2014-09-27","612","불검출","불검출","적합"
"40","당류가공품","지바현","2014-12-02","124","불검출","불검출","적합"
"41","당류가공품","지바현","2014-11-20","126","불검출","불검출","적합"
