"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","11건","-","-","930,385","-","-","-"
"1","냉동새우살(적새우)","중국","2015-1-12","16,500","불검출","불검출","적합"
"2","냉동고등어","중국","2015-1-12","23,050","불검출","불검출","적합"
"3","냉동꽁치","대만","2015-1-12","157,412","불검출","불검출","적합"
"4","냉동꽁치","대만","2015-1-12","66,910","불검출","불검출","적합"
"5","냉동꽁치","대만","2015-1-12","181,184","불검출","불검출","적합"
"6","냉동꽁치","대만","2015-1-12","108,996","불검출","불검출","적합"
"7","냉동꽁치","대만","2015-1-12","107,880","불검출","불검출","적합"
"8","냉동가자미(각시가자미) 러시아","","2015-1-12","20,670","불검출","불검출","적합"
"9","냉동상어(청상아리)","대만","2015-1-12","906","불검출","불검출","적합"
"10","냉동꽁치","대만","2015-1-12","220,467","불검출","불검출","적합"
"11","냉동꽁치","대만","2015-1-12","26,410","불검출","불검출","적합"
