"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"13","국수","사이타마현","2014-12-02","752","불검출","불검출","적합"
"14","국수","사이타마현","2014-12-02","420","불검출","불검출","적합"
"15","국수","사이타마현","2014-12-02","370","불검출","불검출","적합"
"16","국수","사이타마현","2014-12-02","880","불검출","불검출","적합"
"17","국수","사이타마현","2014-12-02","370","불검출","불검출","적합"
"18","청주","효고현","2014-10-28","72","불검출","불검출","적합"
"19","청주","효고현","2014-11-29","60","불검출","불검출","적합"
"20","청주","효고현","2014-12-04","79","불검출","불검출","적합"
"21","청주","지바현","2014-12-07","86","불검출","불검출","적합"
"22","건어포류","효고현","2014-12-12","648","불검출","불검출","적합"
"23","캔디류(사탕)","아이치현","2014-12-02","48","불검출","불검출","적합"
"24","과자(크래커)","아이치현","2014-12-01","68","불검출","불검출","적합"
"25","과.채가공품","훗카이도","2014-11-17","10","불검출","불검출","적합"
"26","과자(스낵과자)","나가노현","2014-12-14","2,016","불검출","불검출","적합"
"27","조미건어포류","야마나시현","2014-12-11","23","불검출","불검출","적합"
"28","기타천연착향료","오카야마현","2014-07-01","15","불검출","불검출","적합"
"29","조미건어포류","후쿠오카현","2014-11-12","16","불검출","불검출","적합"
"30","기타천연착향료","오카야마현","2014-11-13","60","불검출","불검출","적합"
"31","과자(스낵과자)","가고시마현","2014-12-04","70","불검출","불검출","적합"
"32","과.채가공품","훗카이도","2014-11-18","15","불검출","불검출","적합"
"33","액상차","가나가와현","2014-11-05","11,520","불검출","불검출","적합"
"34","캔디류(사탕)","후쿠시마현","2014-11-21","864","불검출","불검출","적합"
"35","기타주류","시즈오카현","2014-11-17","144","불검출","불검출","적합"
"36","과자(스낵과자)","니가타현","2014-12-11","918","불검출","불검출","적합"
"37","과자(스낵과자)","니가타현","2014-12-10","408","불검출","불검출","적합"
"38","페룰린산","와카야마현","2014-12-01","10","불검출","불검출","적합"
"39","과자(스낵과자)","후쿠오카현","2014-12-05","30","불검출","불검출","적합"
"40","과자(스낵과자)","교토부","2014-12-05","180","불검출","불검출","적합"
"41","기타가공품","에히메현","2014-12-04","8","불검출","불검출","적합"
