"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"13","청주","효고현","2014-12-12","1,200","불검출","불검출","적합"
"14","소스류","가나가와현","2014-12-02","270","불검출","불검출","적합"
"15","청주","효고현","2014-11-12","2,070","불검출","불검출","적합"
"16","청주","효고현","2014-11-15","270","불검출","불검출","적합"
"17","청주","효고현","2014-11-04","108","불검출","불검출","적합"
"18","청주","효고현","2014-12-04","108","불검출","불검출","적합"
"19","청주","효고현","2014-11-11","2,400","불검출","불검출","적합"
"20","혼합제제","시즈오카현","2014-11-27","4,000","불검출","불검출","적합"
"21","카라멜색소","도치기현","2014-11-13","3,100","불검출","불검출","적합"
"22","혼합제제","와카야마현","2014-12-04","105","불검출","불검출","적합"
"23","혼합제제","와카야마현","2014-12-04","45","불검출","불검출","적합"
"24","혼합제제","가나가와현","2014-11-19","50","불검출","불검출","적합"
"25","혼합제제","오카야마현","2014-12-22","30","불검출","불검출","적합"
"26","탄산음료","오사카부","2014-11-19","3,000","불검출","불검출","적합"
"27","캔디류(사탕)","미에현","2014-10-22","633.59","불검출","불검출","적합"
"28","캔디류(사탕)","아이치현","2014-12-11","5,256","불검출","불검출","적합"
"29","캔디류(사탕)","아이치현","2014-12-08","1,584","불검출","불검출","적합"
"30","청주","구마모토현","2014-11-12","43.2","불검출","불검출","적합"
"31","과자(비스킷)","이바라키현","2014-11-14","262.44","불검출","불검출","적합"
"32","조미건어포류","아오모리현","2014-12-01","6.6","불검출","불검출","적합"
"33","국수","이바라키현","2014-11-20","1,200","불검출","불검출","적합"
"34","청주","효고현","2014-11-28","7,200","불검출","불검출","적합"
"35","소스류","히로시마현","2014-09-05","7.2","불검출","불검출","적합"
"36","가공두부","나가노현","2014-10-27","7,098","불검출","불검출","적합"
"37","건어포류","교토부","2014-12-16","100","불검출","불검출","적합"
"38","건어포류","교토부","2014-12-16","100","불검출","불검출","적합"
"39","건어포류","교토부","2014-12-16","100","불검출","불검출","적합"
"40","건어포류","교토부","2014-12-16","100","불검출","불검출","적합"
"41","초콜릿","훗카이도","2014-12-24","66","불검출","불검출","적합"
"42","당류가공품","미에현","2014-12-05","3,802.5","불검출","불검출","적합"
"43","드레싱","아오모리현","2014-12-01","4,535.3","불검출","불검출","적합"
"44","식물성크림","오사카부","2014-12-11","2,200","불검출","불검출","적합"
"45","양조간장","효고현","2014-12-03","27,293.76","불검출","불검출","적합"
"46","소스류","지바현","2014-11-20","381","불검출","불검출","적합"
"47","양조간장","지바현","2014-11-27","9,880.6","불검출","불검출","적합"
"48","양조간장","지바현","2014-12-09","2,794","불검출","불검출","적합"
"49","소스류","가나가와현","2014-12-02","270","불검출","불검출","적합"
