"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","15건","-","-","1,964,555","-","-","-"
"1","냉동꽁치","대만","2014-12-22","152,409","불검출","불검출","적합"
"2","냉동꽁치","대만","2014-12-22","187,169","불검출","불검출","적합"
"3","냉동꽁치","대만","2014-12-22","202,341","불검출","불검출","적합"
"4","냉동꽁치","대만","2014-12-22","190,807","불검출","불검출","적합"
"5","냉동꽁치","대만","2014-12-22","142,417","불검출","불검출","적합"
"6","냉동가자미(까지가자미) 러시아","","2014-12-22","23,400","불검출","불검출","적합"
"7","냉동꽁치","대만","2014-12-22","512,803","불검출","불검출","적합"
"8","냉동다랑어(눈다랑어)","중국","2014-12-22","7,037","불검출","불검출","적합"
"9","냉동꽁치","대만","2014-12-22","70,899","불검출","불검출","적합"
"10","냉동명태","러시아","2014-12-22","20,720","불검출","불검출","적합"
"11","냉동명태(F)","러시아","2014-12-22","22,100","불검출","불검출","적합"
"12","냉동명태","러시아","2014-12-22","3,220","불검출","불검출","적합"
"13","냉동꽁치","대만","2014-12-22","286,187","불검출","불검출","적합"
"14","냉동꽁치","대만","2014-12-22","99,173","불검출","불검출","적합"
"15","냉동꽁치","대만","2014-12-22","43,873","불검출","불검출","적합"
