"순 번","품목명","제조·생산지 제조일자","","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"52","과자(쿠키)","군마현","2014-11-15","390","불검출","불검출","적합"
"53","캔디류(캐러멜)","도치기현","2014-11-13","88.32","불검출","불검출","적합"
"54","소스류","지바현","2014-11-01","309.6","불검출","불검출","적합"
"55","양조간장","지바현","2014-09-25","8,424","불검출","불검출","적합"
"56","양조간장","지바현","2014-10-06","254.88","불검출","불검출","적합"
"57","소스류","지바현","2014-11-27","2,025.15","불검출","불검출","적합"
"58","빵류(카스텔라)","사이타마현","2014-10-30","57.6","불검출","불검출","적합"
"59","빵류(카스텔라)","사이타마현","2014-10-30","38.4","불검출","불검출","적합"
"60","빵류(카스텔라)","도쿄도","2014-10-30","48","불검출","불검출","적합"
"61","혼합제제","사이타마현","2014-11-28","108","불검출","불검출","적합"
"62","혼합제제","사이타마현","2014-11-28","216","","불검출","적합"
"63","글리세린지방산
에스테르","미에현","2014-08-11","208","불검출","불검출","적합"
"64","혼합제제","오카야마현","2014-11-27","2,325","불검출","불검출","적합"
"65","자당지방산에스테
르","미에현","2014-11-04","2,880","불검출","불검출","적합"
"66","자당지방산에스테
르","미에현","2014-10-21","2,880","불검출","불검출","적합"
"67","혼합제제","고치현","2014-12-04","1,000","불검출","불검출","적합"
"68","국수","아키타현","2014-10-27","72","불검출","불검출","적합"
"69","혼합제제","효고현","2014-12-02","150","불검출","불검출","적합"
"70","혼합제제","효고현","2014-12-04","34","불검출","불검출","적합"
"71","혼합제제","효고현","2014-12-09","51","불검출","불검출","적합"
"72","떡류","오사카부","2014-10-17","936","불검출","불검출","적합"
"73","혼합제제","효고현","2014-12-05","17","불검출","불검출","적합"
"74","혼합제제","효고현","2014-12-09","17","불검출","불검출","적합"
"75","발효식초","나라현","2014-10-29","102","불검출","불검출","적합"
"76","소스류","야마구치현","2014-11-13","100","불검출","불검출","적합"
"77","과.채가공품","후쿠오카현","2014-12-08","12","불검출","불검출","적합"
"78","고춧가루","효고현","2014-12-08","50","불검출","불검출","적합"
"79","기타주류","야마구치현","2014-11-17","200","불검출","불검출","적합"
"80","고춧가루","효고현","2014-12-08","50","불검출","불검출","적합"
"81","소스류","야마구치현","2014-10-28","100","불검출","불검출","적합"
"82","고춧가루","시가현","2014-09-05","30","불검출","불검출","적합"
"83","기타주류","야마구치현","2014-11-12","100","불검출","불검출","적합"
"84","복합조미식품","가나가와현","2014-10-12","100","불검출","불검출","적합"
"85","복합조미식품","오사카부","2014-11-13","1,680","불검출","불검출","적합"
"86","기타주류","야마구치현","2014-10-22","3,820","불검출","불검출","적합"
"87","물엿","가고시마현","2014-10-31","3,000","불검출","불검출","적합"
"88","복합조미식품","오사카부","2014-11-21","3,160","불검출","불검출","적합"
"89","고춧가루","시가현","2014-09-08","540","불검출","불검출","적합"
"90","혼합제제","오사카부","2013-06-25","5","불검출","불검출","적합"
"91","식용색소적색제
102호","오사카부","2013-12-12","2.5","불검출","불검출","적합"
"92","캔디류(사탕)","오사카부","2014-11-06","648","불검출","불검출","적합"
"93","캔디류(사탕)","오사카부","2014-11-07","612","불검출","불검출","적합"
"94","혼합제제","도치기현","2014-11-26","30","불검출","불검출","적합"
