"순 번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"15","청주","후쿠오카현","2014-08-01","1,177.2","불검출","불검출","적합"
"16","청주","교토부","2014-10-07","1,296","불검출","불검출","적합"
"17","청주","미야기현","2014-11-01","43.2","불검출","불검출","적합"
"18","청주","훗카이도","2014-10-16","115.2","불검출","불검출","적합"
"19","청주","훗카이도","2014-10-30","432","불검출","불검출","적합"
"20","청주","이시카와현","2014-11-07","21.6","불검출","불검출","적합"
"21","빵류(그외 빵류)","가가와현","2014-10-30","64","불검출","불검출","적합"
"22","청주","이시카와현","2014-11-07","14.4","불검출","불검출","적합"
"23","빵류(카스텔라)","도쿄도","2014-10-30","48","불검출","불검출","적합"
"24","커피/건조","브라질","2014-06-26","6,000","불검출","불검출","적합"
"25","기타가공품","히로시마현","2014-12-04","2,000","불검출","불검출","적합"
"26","기타가공품","사이타마현","2014-11-19","100","불검출","불검출","적합"
"27","당류가공품","교토부","2014-05-01","38.4","불검출","불검출","적합"
"28","수산물가공품","훗카이도","2014-10-24","50","불검출","불검출","적합"
"29","기타어육가공품","훗카이도","2014-11-27","165","불검출","불검출","적합"
"30","수산물가공품","야마구치현","2014-11-26","30","불검출","불검출","적합"
"31","유바","아이치현","2014-10-28","20.25","불검출","불검출","적합"
"32","청국장","훗카이도","2014-11-15","2,970","불검출","불검출","적합"
"33","감마-오리자놀","아이치현","2014-07-22","201","불검출","불검출","적합"
"34","소스류","아이치현","2014-09-22","259.2","불검출","불검출","적합"
"35","양조간장","효고현","2014-11-04","302.4","불검출","불검출","적합"
"36","식염절임","도쿄도","2014-11-28","68","불검출","불검출","적합"
"37","식초절임
(생강절임)","도치기현","2014-11-28","24","불검출","불검출","적합"
"38","혼합장","교토부","2014-11-25","120","불검출","불검출","적합"
"39","캔디류(사탕)","아이치현","2014-11-01","153","불검출","불검출","적합"
"40","향신료조제품","오사카부","2014-10-06","7.2","불검출","불검출","적합"
"41","된장","교토부","2014-11-19","20","불검출","불검출","적합"
"42","수산물가공품","아이치현","2014-11-22","2.5","불검출","불검출","적합"
"43","된장","히로시마현","2014-11-27","420","불검출","불검출","적합"
"44","된장","히로시마현","2014-11-27","520","불검출","불검출","적합"
"45","된장","니가타현","2014-11-22","100","불검출","불검출","적합"
"46","향신료조제품
(고추냉이가공품)","아이치현","2014-09-17","30","불검출","불검출","적합"
"47","기타식초","도쿄도","2014-11-10","144","불검출","불검출","적합"
"48","양조간장","지바현","2014-11-19","1,400.4","불검출","불검출","적합"
"49","빵류(파이)","오사카부","2014-11-29","59.14","불검출","불검출","적합"
"50","빵류(케이크)","효고현","2014-11-28","168","불검출","불검출","적합"
