"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","2건","","","2,139,292","-","-","-"
"1","냉동꽁치","대만","2014-12-24","476,701","불검출","불검출","적합"
"2","냉동대구","러시아","2014-12-24","82,300","불검출","불검출","적합"
"3","냉동대구(목살)","러시아","2014-12-24","10,421","불검출","불검출","적합"
"4","냉동꽁치","대만","2014-12-24","49,209","불검출","불검출","적합"
"5","냉동꽁치","대만","2014-12-24","407,024","불검출","불검출","적합"
"6","냉동명태","러시아","2014-12-24","681,335","불검출","불검출","적합"
"7","냉동고등어","중국","2014-12-24","23,420","불검출","불검출","적합"
"8","냉동눈다랑어(목살)","필리핀","2014-12-24","401","불검출","불검출","적합"
"9","냉동꽁치","대만","2014-12-24","189,449","불검출","불검출","적합"
"10","냉동꽁치","대만","2014-12-24","6,556","불검출","불검출","적합"
"11","냉동명태(F)","러시아","2014-12-24","14,400","불검출","불검출","적합"
"12","냉동고등어","중국","2014-12-24","23,901","불검출","불검출","적합"
"13","냉동청상아리","대만","2014-12-24","5,547","불검출","불검출","적합"
"14","냉동대구","러시아","2014-12-24","168,628","불검출","불검출","적합"
