"순 번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"47","혼합제제","도치기현","2014-10-30","1,200","불검출","불검출","적합"
"48","L-메티오닌","야마구치현","2014-10-09","100","불검출","불검출","적합"
"49","L-발린","야마구치현","2014-11-17","10","불검출","불검출","적합"
"50","L-발린","야마구치현","2014-12-01","20","불검출","불검출","적합"
"51","혼합제제","효고현","2014-09-19","17","불검출","불검출","적합"
"52","혼합제제","효고현","2014-11-20","17","불검출","불검출","적합"
"53","혼합제제","효고현","2014-11-21","170","불검출","불검출","적합"
"54","혼합제제","효고현","2014-08-11","51","불검출","불검출","적합"
"55","L-로이신","야마구치현","2014-11-10","50","불검출","불검출","적합"
"56","혼합제제","효고현","2014-09-01","34","불검출","불검출","적합"
"57","L-이소로이신","야마구치현","2014-11-10","30","불검출","불검출","적합"
"58","혼합제제","효고현","2014-11-21","51","불검출","불검출","적합"
"59","혼합제제","오사카부","2013-11-22","15","불검출","불검출","적합"
"60","혼합제제","오사카부","2013-12-10","300","불검출","불검출","적합"
"61","밀크초콜릿","가나가와현","2014-02-04","72","불검출","불검출","적합"
"62","밀크초콜릿","가나가와현","2014-12-02","72","","불검출","적합"
"63","기타가공품","훗카이도","2014-12-01","3,500","불검출","불검출","적합"
"64","캔디류(사탕)","아이치현","2014-12-01","300","불검출","불검출","적합"
"65","청주","아이치현","2014-12-02","120","불검출","불검출","적합"
"66","혼합제제","나가노현","2013-04-23","700","불검출","불검출","적합"
"67","청주","효고현","2014-12-02","72","불검출","불검출","적합"
"68","혼합제제","시즈오카현","2013-07-02","3,400","불검출","불검출","적합"
"69","청주","효고현","2014-12-01","78","불검출","불검출","적합"
"70","혼합제제","가나가와현","2014-11-28","150","불검출","불검출","적합"
"71","혼합제제","사이타마현","2014-11-25","384","불검출","불검출","적합"
"72","혼합제제","사이타마현","2014-09-30","184","불검출","불검출","적합"
"73","","","","","","",""
"74","","","","","","",""
"75","","","","","","",""
"76","","","","","","",""
"77","","","","","","",""
"78","","","","","","",""
"79","","","","","","",""
"80","","","","","","",""
"81","","","","","","",""
"82","","","","","","",""
"83","","","","","","",""
"84","","","","","","",""
