"순 번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"93","볶은커피","효고현","2014-10-28","84","불검출","불검출","적합"
"94","금박","교토부","2014-11-28","0.12","불검출","불검출","적합"
"95","식초절임
(매실절임)","와카야마현","2014-12-11","160","불검출","불검출","적합"
"96","혼합제제","효고현","2014-12-09","17","불검출","불검출","적합"
"97","식초절임","와카야마현","2014-12-11","240","불검출","불검출","적합"
"98","빵류(그외 빵류)","나가노현","2014-11-17","96","불검출","불검출","적합"
"99","캔디류(사탕)","아이치현","2014-11-14","360","불검출","불검출","적합"
"100","조미된장","아이치현","2014-11-18","10,000","불검출","불검출","적합"
"101","조미된장","아이치현","2014-11-19","9,000","불검출","불검출","적합"
"102","볶은커피","사이타마현","2014-10-22","300","불검출","불검출","적합"
"103","인스턴트커피","오사카부","2014-10-14","19","불검출","불검출","적합"
"104","볶은커피","시즈오카현","2014-11-03","524","불검출","불검출","적합"
"105","볶은커피","시즈오카현","2014-11-27","23","불검출","불검출","적합"
"106","볶은커피","시즈오카현","2014-11-27","46","불검출","불검출","적합"
"107","밀크초콜릿","훗카이도","2014-12-03","2,587.5","불검출","불검출","적합"
"108","화이트초콜릿","훗카이도","2014-12-03","360","불검출","불검출","적합"
"109","밀크초콜릿","훗카이도","2014-12-03","1,395","불검출","불검출","적합"
"110","밀크초콜릿","훗카이도","2014-12-03","795","불검출","불검출","적합"
"111","초콜릿","훗카이도","2014-12-03","54.6","불검출","불검출","적합"
"112","밀크초콜릿","훗카이도","2014-12-03","105","불검출","불검출","적합"
"113","초콜릿가공품","훗카이도","2014-12-03","288","불검출","불검출","적합"
"114","초콜릿","훗카이도","2014-12-03","264","불검출","불검출","적합"
"115","초콜릿","훗카이도","2014-12-03","192","불검출","불검출","적합"
"116","초콜릿가공품","훗카이도","2014-12-03","396","불검출","불검출","적합"
"117","초콜릿가공품","훗카이도","2014-12-03","172.8","불검출","불검출","적합"
"118","초콜릿가공품","훗카이도","2014-12-03","226.8","불검출","불검출","적합"
"119","초콜릿가공품","훗카이도","2014-12-03","183.6","불검출","불검출","적합"
"120","초콜릿가공품","훗카이도","2014-12-03","1,242.6","불검출","불검출","적합"
"121","초콜릿가공품","훗카이도","2014-12-03","427.5","불검출","불검출","적합"
"122","초콜릿가공품","훗카이도","2014-12-03","136.8","불검출","불검출","적합"
"123","밀크초콜릿","훗카이도","2014-12-03","23.4","불검출","불검출","적합"
"124","초콜릿","훗카이도","2014-12-03","504","불검출","불검출","적합"
"125","복합조미식품","사이타마현","2014-11-27","2,000","불검출","불검출","적합"
"126","과자(비스킷)","오사카부","2014-11-01","495","불검출","불검출","적합"
