"순 번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"13","소스류","도쿄도","2014-10-23","180","불검출","불검출","적합"
"14","소스류","도쿄도","2014-11-14","180","불검출","불검출","적합"
"15","캔디류(사탕)","미에현","2014-11-18","1,056","불검출","불검출","적합"
"16","빵류(그외 빵류)","사가현","2014-10-31","4,999.05","불검출","불검출","적합"
"17","소스류","도치기현","2014-10-16","12,000","불검출","불검출","적합"
"18","청주","교토부","2014-11-10","360","불검출","불검출","적합"
"19","청주","교토부","2014-10-29","14,515.2","불검출","불검출","적합"
"20","혼합제제","사이타마현","2014-11-13","100","불검출","불검출","적합"
"21","청주","니가타현","2014-11-17","129.6","불검출","불검출","적합"
"22","청주","야마가타현","2014-11-15","86.4","불검출","불검출","적합"
"23","소주","미야자키현","2014-11-10","216","불검출","불검출","적합"
"24","소주","미야자키현","2014-08-18","86.4","불검출","불검출","적합"
"25","청주","야마구치현","2014-08-19","259.2","불검출","불검출","적합"
"26","혼합제제","와카야마현","2014-10-16","30","불검출","불검출","적합"
"27","혼합제제","와카야마현","2014-10-31","30","불검출","불검출","적합"
"28","혼합제제","와카야마현","2014-10-02","30","불검출","불검출","적합"
"29","혼합제제","와카야마현","2014-08-08","60","불검출","불검출","적합"
"30","오징어먹물색소","시마네현","2014-11-25","100","불검출","불검출","적합"
"31","밀크초콜릿","가나가와현","2014-11-18","72","불검출","불검출","적합"
"32","혼합제제","시가현","2014-10-28","50","불검출","불검출","적합"
"33","청주","교토부","2014-11-17","29,073.6","불검출","불검출","적합"
"34","혼합제제","지바현","2014-10-18","27","불검출","불검출","적합"
"35","볶은커피","아이치현","2014-09-09","33.6","불검출","불검출","적합"
"36","복합조미식품","미에현","2014-11-13","115.02","불검출","불검출","적합"
"37","소스류","도치기현","2014-11-17","12,000","불검출","불검출","적합"
"38","청주","아오모리현","2014-11-18","1,800","불검출","불검출","적합"
"39","기타가공품","아이치현","2014-11-19","75","불검출","불검출","적합"
"40","락타아제","시가현","2014-11-20","51","불검출","불검출","적합"
"41","과자(스낵과자)","미에현","2014-09-03","1,440","불검출","불검출","적합"
"42","혼합제제","미에현","2014-10-27","108","불검출","불검출","적합"
"43","글리세린지방산
에스테르","미에현","2014-12-03","256","불검출","불검출","적합"
"44","과자(크래커)","니가타현","2014-11-18","37.58","불검출","불검출","적합"
"45","이온교환수지","후쿠오카현","2014-11-18","6,290","불검출","불검출","적합"
"46","맥주","후쿠오카현","2014-11-14","51,720","불검출","불검출","적합"
