"순 번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"51","빵류(그외 빵류)","효고현","2014-11-28","66","불검출","불검출","적합"
"52","빵류(그외 빵류)","효고현","2014-11-28","66","불검출","불검출","적합"
"53","빵류(그외 빵류)","효고현","2014-11-28","66","불검출","불검출","적합"
"54","과자(쿠키)","효고현","2014-11-28","17.28","불검출","불검출","적합"
"55","과자(쿠키)","효고현","2014-11-28","17.28","불검출","불검출","적합"
"56","과자(쿠키)","효고현","2014-11-28","17.28","불검출","불검출","적합"
"57","과자(쿠키)","효고현","2014-11-28","17.28","불검출","불검출","적합"
"58","빵류(그외 빵류)","효고현","2014-11-28","20.16","불검출","불검출","적합"
"59","빵류(그외 빵류)","효고현","2014-11-28","62.4","불검출","불검출","적합"
"60","빵류(케이크)","효고현","2014-11-28","184","불검출","불검출","적합"
"61","빵류(케이크)","효고현","2014-11-28","1,912.64","불검출","불검출","적합"
"62","두류가공품","나가노현","2014-11-12","5,100.9","불검출","불검출","적합"
"63","두류가공품","나가노현","2014-11-07","8,039.8","불검출","불검출","적합"
"64","기타천연착향료","효고현","2014-12-05","30","불검출","불검출","적합"
"65","혼합제제","효고현","2014-12-09","17","불검출","불검출","적합"
"66","혼합제제","효고현","2014-12-01","34","불검출","불검출","적합"
"67","곡류가공품","사이타마현","2014-11-21","360","불검출","불검출","적합"
"68","소스류","아이치현","2014-11-29","276","불검출","불검출","적합"
"69","소스류","도쿠시마현","2014-11-17","129.6","불검출","불검출","적합"
"70","드레싱","도쿄도","2014-10-17","66","불검출","불검출","적합"
"71","양조간장","후쿠오카현","2014-12-03","40","불검출","불검출","적합"
"72","양조간장","후쿠오카현","2014-12-03","80","불검출","불검출","적합"
"73","혼합장","후쿠오카현","2014-12-03","130","불검출","불검출","적합"
"74","혼합장","후쿠오카현","2014-12-03","130","불검출","불검출","적합"
"75","회향(소회향,
판넬,
Foeniculum
vulgare
Mill)/건조","인도","2014-10-01","2,000","불검출","불검출","적합"
"76","혼합제제","시가현","2014-12-11","25","불검출","불검출","적합"
"77","혼합제제","시가현","2014-12-10","50","불검출","불검출","적합"
"78","소스류","사이타마현","2014-11-07","162","불검출","불검출","적합"
"79","국수","구마모토현","2014-11-22","568.8","불검출","불검출","적합"
"80","국수","구마모토현","2014-11-22","723.6","불검출","불검출","적합"
"81","캔디류(사탕)","미에현","2014-10-24","506.88","불검출","불검출","적합"
"82","캔디류(사탕)","미에현","2014-10-22","506.88","불검출","불검출","적합"
"83","캔디류(사탕)","시즈오카현","2014-11-05","1,762.55","불검출","불검출","적합"
"84","과자(스낵과자)","니가타현","2014-11-23","918","불검출","불검출","적합"
"85","카레","니가타현","2014-11-05","432","불검출","불검출","적합"
"86","카레","니가타현","2014-11-04","1,008","불검출","불검출","적합"
"87","카레","시즈오카현","2014-11-04","207","불검출","불검출","적합"
"88","맥주","교토부","2014-11-05","30,744","불검출","불검출","적합"
"89","즉석조리식품","오카야마현","2014-12-04","1,051.2","불검출","불검출","적합"
"90","과.채가공품","오카야마현","2014-12-11","204","불검출","불검출","적합"
"91","볶은커피","효고현","2014-11-17","1,170","불검출","불검출","적합"
"92","액상커피","시가현","2014-11-17","2,640","불검출","불검출","적합"
