"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","10건","-","-","179,737","-","-","-"
"1","냉동다랑어(참다랑어,볼살,횟감) 멕시코","","2015-5-11","920","불검출","불검출","적합"
"2","냉동곤이(명태)","러시아","2015-5-11","4,703","불검출","불검출","적합"
"3","냉동어란(명란)","러시아","2015-5-11","6,399","불검출","불검출","적합"
"4","냉동고등어","대만","2015-5-11","72,000","불검출","불검출","적합"
"5","냉동곤이(대구)","러시아","2015-5-11","13,515","불검출","불검출","적합"
"6","냉동기름치","대만","2015-5-11","2,100","불검출","불검출","적합"
"7","냉동고등어","대만","2015-5-11","24,000","불검출","불검출","적합"
"8","냉동명태(F)","러시아","2015-5-11","24,000","불검출","불검출","적합"
"9","냉동가자미(까지가자미) 러시아","","2015-5-11","22,500","불검출","불검출","적합"
"10","마른명태","러시아","2015-5-11","9,600","불검출","불검출","적합"
