"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 152건","","","","685,644","","",""
"1","청주","아키타현","2019-02-21","311","불검출","불검출","적합"
"2","생면","니가타현","2019-01-25","430","불검출","불검출","적합"
"3","소스","도치기현","2019-01-23","1,544","불검출","불검출","적합"
"4","발효식초","도치기현","2019-01-16","4,144","불검출","불검출","적합"
"5","즉석조리식품","오카야마현","2019-02-08","350","불검출","불검출","적합"
"6","숙면","구마모토현","2019-02-07","3,420","불검출","불검출","적합"
"7","숙면","구마모토현","2019-01-29","5,508","불검출","불검출","적합"
"8","숙면","구마모토현","2019-02-13","119","불검출","불검출","적합"
"9","숙면","구마모토현","2019-02-13","113","불검출","불검출","적합"
"10","숙면","구마모토현","2019-02-13","119","불검출","불검출","적합"
"11","숙면","구마모토현","2019-01-22","90","불검출","불검출","적합"
"12","청주","이와테현","2019-01-24","86","불검출","불검출","적합"
"13","가공두부","후쿠오카현","2018-12-25","10,080","불검출","불검출","적합"
"14","혼합제제","효고현","2019-02-25","17","불검출","불검출","적합"
