"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","활돔(참돔)","에히메현","2019-03-19","6,041","불검출","불검출","적합"
"2","냉장대구","홋카이도","2019-03-19","1,080","불검출","불검출","적합"
"3","냉장명태","홋카이도","2019-03-19","1,521","불검출","불검출","적합"
"4","냉장명태","홋카이도","2019-03-19","1,521","불검출","불검출","적합"
"5","냉장명태","홋카이도","2019-03-19","1,300","불검출","불검출","적합"
"6","활돔(참돔)","에히메현","2019-03-19","9,895","불검출","불검출","적합"
"7","활가리비","홋카이도","2019-03-19","6,946","불검출","불검출","적합"
"8","냉장전갱이(흑점줄전갱이)","미야자키현","2019-03-19","106","불검출","불검출","적합"
"9","냉장준치","효고현","2019-03-19","2,160","불검출","불검출","적합"
"10","냉장명태","홋카이도","2019-03-19","2,600","불검출","불검출","적합"
"11","냉장홍어","야마구치현","2019-03-19","180","불검출","불검출","적합"
"12","활가리비","홋카이도","2019-03-19","6,938","불검출","불검출","적합"
"13","냉장명태","홋카이도","2019-03-19","2,600","불검출","불검출","적합"
"14","냉장명태","홋카이도","2019-03-19","1,300","불검출","불검출","적합"
"15","활장어(먹장어)","나가사키현","2019-03-19","1,201","불검출","불검출","적합"
"16","활돔(강담돔)","에히메현","2019-03-19","873","불검출","불검출","적합"
"17","냉장명태","홋카이도","2019-03-19","1,950","불검출","불검출","적합"
"18","냉장명태","홋카이도","2019-03-19","1,508","불검출","불검출","적합"
"19","활가리비","홋카이도","2019-03-19","6,982","불검출","불검출","적합"
"20","활바리(자바리)","나가사키현","2019-03-19","173","불검출","불검출","적합"
