"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 135건","","","","356,976","","",""
"1","소주","미야자키현","2019-02-05","43","불검출","불검출","적합"
"2","청주","도쿄도","2019-02-05","86","불검출","불검출","적합"
"3","청주","야마구치현","2018-12-28","432","불검출","불검출","적합"
"4","청주","야마구치현","2018-12-26","130","불검출","불검출","적합"
"5","청주","후쿠오카현","2019-02-01","173","불검출","불검출","적합"
"6","소주","후쿠오카현","2019-02-08","648","불검출","불검출","적합"
"7","소주","가고시마현","2019-01-25","162","불검출","불검출","적합"
"8","기타가공품","니가타현","2019-01-24","900","불검출","불검출","적합"
"9","청주","아이치현","2019-02-12","2,333","불검출","불검출","적합"
"10","당류가공품","오키나와현","2019-02-18","420","불검출","불검출","적합"
"11","당류가공품","오키나와현","2019-02-18","1,094","불검출","불검출","적합"
"12","당류가공품","오키나와현","2019-02-18","780","불검출","불검출","적합"
"13","가공소금","도쿄도","2019-01-28","10","불검출","불검출","적합"
"14","가공소금","도쿄도","2019-01-28","11","불검출","불검출","적합"
