"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","15건","-","-","1,450,909","-","-","-"
"1","냉동명태(F)","러시아","2015-1-30","24,000","불검출","불검출","적합"
"2","냉동명태","러시아","2015-1-30","517,505","불검출","불검출","적합"
"3","냉동꽁치","대만","2015-1-30","248,824","불검출","불검출","적합"
"4","냉동다랑어(눈다랑어)","바누아투","2015-1-30","13,260","불검출","불검출","적합"
"5","냉동대구","러시아","2015-1-30","10,363","불검출","불검출","적합"
"6","냉동고등어","대만","2015-1-30","47,869","불검출","불검출","적합"
"7","냉동명태(F)","러시아","2015-1-30","14,400","불검출","불검출","적합"
"8","냉동대구(목살)","러시아","2015-1-30","7,020","불검출","불검출","적합"
"9","냉동대구(목살)","러시아","2015-1-30","2,800","불검출","불검출","적합"
"10","냉동꽁치","대만","2015-1-30","111,600","불검출","불검출","적합"
"11","냉동꽁치","대만","2015-1-30","111,600","불검출","불검출","적합"
"12","냉동가자미(각시가자미) 러시아","","2015-1-30","23,000","불검출","불검출","적합"
"13","냉동꽁치","대만","2015-1-30","125,541","불검출","불검출","적합"
"14","냉동다랑어(눈다랑어,F,횟감)","대만","2015-1-30","530","불검출","불검출","적합"
"15","냉동꽁치","대만","2015-1-30","192,597","불검출","불검출","적합"
