"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","14건","-","-","438,401","-","-","-"
"1","마른해조(코토니)","인도네시아","2014-5-30","40,000","불검출","불검출","적합"
"2","냉장연어","뉴질랜드","2014-5-30","105","불검출","불검출","적합"
"3","냉동다랑어(눈다랑어,F,횟감) 대만","","2014-5-30","1,840","불검출","불검출","적합"
"4","냉동상어(청상아리,F)","대만","2014-5-30","10,899","불검출","불검출","적합"
"5","냉동꽁치","대만","2014-5-30","104,045","불검출","불검출","적합"
"6","냉동꽁치","대만","2014-5-30","130,760","불검출","불검출","적합"
"7","냉동어란(명란)","러시아","2014-5-30","15,292","불검출","불검출","적합"
"8","냉동가자미(각시가자미) 미국","","2014-5-30","48,000","불검출","불검출","적합"
"9","냉동곤이(명태)","러시아","2014-5-30","6,953","불검출","불검출","적합"
"10","냉동새우(흰다리새우) 말레이시아","","2014-5-30","14,250","불검출","불검출","적합"
"11","냉동새우(흰다리새우) 말레이시아","","2014-5-30","17,100","불검출","불검출","적합"
"12","냉동명태","러시아","2014-5-30","2,907","불검출","불검출","적합"
"13","냉동명태(F)","러시아","2014-5-30","22,250","불검출","불검출","적합"
"14","냉동고등어","중국","2014-5-30","24,000","불검출","불검출","적합"
