"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 139건","","","","1,164,416","","",""
"1","소스","후쿠오카현","2018-12-26","24","불검출","불검출","적합"
"2","합성향료","효고현","2019-01-09","51","불검출","불검출","적합"
"3","혼합제제","효고현","2019-01-11","17","불검출","불검출","적합"
"4","혼합제제","효고현","2019-01-09","34","불검출","불검출","적합"
"5","기타식용유지","훗카이도","2018-09-28","112","불검출","불검출","적합"
"6","초콜릿가공품","효고현","2018-11-19","26","불검출","불검출","적합"
"7","기타 주류","효고현","2019-01-09","216","불검출","불검출","적합"
"8","기타천연착향료","오사카부","2019-01-10","5","불검출","불검출","적합"
"9","소주","가고시마현","2019-01-07","173","불검출","불검출","적합"
"10","청주","후쿠이현","2018-12-21","216","불검출","불검출","적합"
"11","소스","아오모리현","2019-01-18","2,311","불검출","불검출","적합"
"12","청주","후쿠이현","2018-12-11","216","불검출","불검출","적합"
"13","청주","후쿠이현","2019-01-15","432","불검출","불검출","적합"
"14","혼합제제","사이타마현","2019-01-08","80","불검출","불검출","적합"
