"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 91건","","","","692,730","","",""
"1","기타 주류","미에현","2019-01-05","108","불검출","불검출","적합"
"2","혼합장","나가노현","2019-01-12","14,000","불검출","불검출","적합"
"3","혼합장","나가노현","2019-01-08","6,000","불검출","불검출","적합"
"4","혼합제제","효고현","2019-01-09","51","불검출","불검출","적합"
"5","합성향료","효고현","2019-01-16","34","불검출","불검출","적합"
"6","합성향료","효고현","2019-01-10","200","불검출","불검출","적합"
"7","혼합제제","효고현","2019-01-09","17","불검출","불검출","적합"
"8","합성향료","효고현","2019-01-16","17","불검출","불검출","적합"
"9","혼합제제","효고현","2019-01-16","17","불검출","불검출","적합"
"10","혼합제제","효고현","2019-01-15","17","불검출","불검출","적합"
"11","합성향료","오카야마현","2019-01-11","180","불검출","불검출","적합"
"12","혼합제제","오카야마현","2019-01-10","45","불검출","불검출","적합"
"13","혼합제제","시즈오카현","2019-01-11","300","불검출","불검출","적합"
"14","혼합제제","오카야마현","2019-01-11","75","불검출","불검출","적합"
