"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"35","초콜릿가공품","훗카이도","2017-11-01","65","불검출","불검출","적합"
"36","초콜릿가공품","훗카이도","2017-11-01","58","불검출","불검출","적합"
"37","빵류(그외 빵류)","훗카이도","2017-11-01","648","불검출","불검출","적합"
"38","어묵","시마네현","2017-10-23","2,226","불검출","불검출","적합"
"39","어묵","시마네현","2017-10-24","2,000","불검출","불검출","적합"
"40","어묵","시마네현","2017-10-15","1,344","불검출","불검출","적합"
"41","어묵","시마네현","2017-10-04","480","불검출","불검출","적합"
"42","어묵","시마네현","2017-10-03","720","불검출","불검출","적합"
"43","어묵","시마네현","2017-10-03","150","불검출","불검출","적합"
"44","어묵","시마네현","2017-09-28","353","불검출","불검출","적합"
"45","어묵","시마네현","2017-10-31","250","불검출","불검출","적합"
"46","어묵","시마네현","2017-10-31","350","불검출","불검출","적합"
"47","어묵","시마네현","2017-10-16","1,200","불검출","불검출","적합"
"48","어묵","시마네현","2017-10-10","720","불검출","불검출","적합"
"49","맥주","후쿠오카현","2017-11-07","157,032","불검출","불검출","적합"
"50","빵류(케이크)","훗카이도","2017-09-14","432","불검출","불검출","적합"
"51","맥주","후쿠오카현","2017-11-02","9,696","불검출","불검출","적합"
"52","빵류(파이)","훗카이도","2017-09-11","42","불검출","불검출","적합"
"53","맥주","후쿠오카현","2017-08-08","122,136","불검출","불검출","적합"
"54","초콜릿가공품","이바라키현","2017-07-17","11,184","불검출","불검출","적합"
"55","빵류(케이크)","훗카이도","2017-09-02","57","불검출","불검출","적합"
"56","과자(웨이퍼)","이바라키현","2017-09-25","34,822","불검출","불검출","적합"
"57","빵류(케이크)","훗카이도","2017-09-12","2,376","불검출","불검출","적합"
"58","기타가공품","훗카이도","2017-10-12","100","불검출","불검출","적합"
"59","캔디류(캐러멜)","훗카이도","2017-08-30","71","불검출","불검출","적합"
