"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"35","과자(스낵과자)","니가타현","2017-11-04","1,326","불검출","불검출","적합"
"36","캔디류(사탕)","아이치현","2017-11-07","9,000","불검출","불검출","적합"
"37","양조간장","오사카부","2017-10-30","765","불검출","불검출","적합"
"38","초콜릿가공품","효고현","2017-10-23","19","불검출","불검출","적합"
"39","혼합제제","사이타마현","2017-10-26","540","불검출","불검출","적합"
"40","초콜릿가공품","효고현","2017-10-20","34","불검출","불검출","적합"
"41","초콜릿가공품","훗카이도","2017-11-01","68","불검출","불검출","적합"
"42","초콜릿가공품","효고현","2017-10-16","24","불검출","불검출","적합"
"43","초콜릿가공품","효고현","2017-09-28","8","불검출","불검출","적합"
"44","액상차","미에현","2017-07-07","1,200","불검출","불검출","적합"
"45","초콜릿가공품","이바라키현","2017-09-15","252","불검출","불검출","적합"
"46","드레싱","시즈오카현","2017-06-27","87","불검출","불검출","적합"
"47","조미건어포","오사카부","2017-10-05","196","불검출","불검출","적합"
"48","조미건어포류","오사카부","2017-11-02","115","불검출","불검출","적합"
"49","초콜릿가공품","니가타현","2017-10-09","264","불검출","불검출","적합"
"50","혼합제제","도쿄도","2017-10-30","540","불검출","불검출","적합"
"51","소스","시즈오카현","2017-10-30","97","불검출","불검출","적합"
"52","혼합제제","와카야마현","2017-10-20","60","불검출","불검출","적합"
"53","건면","가가와현","2017-09-01","181","불검출","불검출","적합"
"54","혼합제제","와카야마현","2017-10-18","30","불검출","불검출","적합"
"55","소스류","교토부","2017-11-03","800","불검출","불검출","적합"
"56","혼합식용유","교토부","2017-11-03","162","불검출","불검출","적합"
"57","혼합제제","와카야마현","2017-10-19","15","불검출","불검출","적합"
"58","혼합제제","기후현","2017-11-16","1","불검출","불검출","적합"
"59","탄산수소암모늄","도야마현","2017-10-19","18,000","불검출","불검출","적합"
