"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"35","초콜릿가공품","오사카부","2017-10-07","277","불검출","불검출","적합"
"36","혼합장","훗카이도","2017-10-05","3,384","불검출","불검출","적합"
"37","초콜릿가공품","이바라키현","2017-10-11","353","불검출","불검출","적합"
"38","과자(크래커)","아이치현","2017-10-20","175","불검출","불검출","적합"
"39","과자(스낵과자)","히로시마현","2017-10-31","144","불검출","불검출","적합"
"40","과자(스낵과자)","히로시마현","2017-10-31","168","불검출","불검출","적합"
"41","소스","지바현","2017-04-05","278","불검출","불검출","적합"
"42","소스","아이치현","2017-08-01","45","불검출","불검출","적합"
"43","과자(비스킷)","아이치현","2017-10-18","116","불검출","불검출","적합"
"44","덱스트린","효고현","2017-10-18","25,600","불검출","불검출","적합"
"45","기타가공품","한국
(일본수출반송)","2019-04-02","18,000","불검출","불검출","적합"
"46","어묵","시마네현","2017-11-01","2,000","불검출","불검출","적합"
"47","어묵","시마네현","2017-10-05","776","불검출","불검출","적합"
"48","당류가공품","오사카부","2017-10-25","198","불검출","불검출","적합"
"49","당류가공품","오사카부","2017-10-26","281","불검출","불검출","적합"
"50","당류가공품","오사카부","2017-10-24","71","불검출","불검출","적합"
"51","당류가공품","오사카부","2017-10-26","61","불검출","불검출","적합"
"52","맥주","후쿠오카현","2017-11-01","69,792","불검출","불검출","적합"
"53","양조간장","지바현","2017-09-12","6,529","불검출","불검출","적합"
"54","소스류","지바현","2017-10-10","395","불검출","불검출","적합"
"55","과자","히로시마현","2017-02-09","6","불검출","불검출","적합"
"56","초콜릿가공품","이바라키현","2017-08-03","12,650","불검출","불검출","적합"
"57","당류가공품","교토부","2017-10-11","65","불검출","불검출","적합"
"58","과자(스낵과자)","지바현","2017-10-03","298","불검출","불검출","적합"
"59","소스류","교토부","2017-09-07","3,183","불검출","불검출","적합"
