"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"10","캔디류(사탕)","미에현","2017-09-02","211","불검출","불검출","적합"
"11","유바","아이치현","2017-10-01","184","불검출","불검출","적합"
"12","국수","가가와현","2017-10-09","4,000","불검출","불검출","적합"
"13","소스류","시즈오카현","2017-10-13","2,002","불검출","불검출","적합"
"14","청주","이와테현","2016-12-14","22","불검출","불검출","적합"
"15","청주","이와테현","2017-10-20","216","불검출","불검출","적합"
"16","청주","이와테현","2017-11-01","432","불검출","불검출","적합"
"17","청주","이와테현","2017-10-10","40","불검출","불검출","적합"
"18","청주","이와테현","2017-11-01","173","불검출","불검출","적합"
"19","청주","이와테현","2017-11-01","259","불검출","불검출","적합"
"20","국수","구마모토현","2017-11-06","598","불검출","불검출","적합"
"21","국수","구마모토현","2017-10-20","160","불검출","불검출","적합"
"22","땅콩 또는
견과류가공품","아이치현","2017-10-17","808","불검출","불검출","적합"
"23","냉면","구마모토현","2017-09-27","612","불검출","불검출","적합"
"24","과자(웨이퍼)","니가타현","2017-10-13","257","불검출","불검출","적합"
"25","냉면","구마모토현","2017-11-03","2,700","불검출","불검출","적합"
"26","과자(크래커)","니가타현","2017-10-18","338","불검출","불검출","적합"
"27","청주","이와테현","2017-10-18","206","불검출","불검출","적합"
"28","청주","아키타현","2017-11-02","43","불검출","불검출","적합"
"29","청주","아키타현","2017-11-02","346","불검출","불검출","적합"
"30","청주","아오모리현","2017-11-02","43","불검출","불검출","적합"
"31","과자(웨이퍼)","사이타마현","2017-10-26","1,120","불검출","불검출","적합"
"32","소스류","훗카이도","2017-10-10","6,458","불검출","불검출","적합"
"33","혼합장","훗카이도","2017-10-10","2,124","불검출","불검출","적합"
"34","소스류","훗카이도","2017-10-10","4,140","불검출","불검출","적합"
