"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"126","혼합제제","도쿄도","2017-11-06","504","불검출","불검출","적합"
"127","수산물가공품","후쿠시마현","2017-10-25","180","불검출","불검출","적합"
"128","가공두부","후쿠오카현","2017-10-27","7,704","불검출","불검출","적합"
"129","혼합제제","히로시마현","2017-11-10","180","불검출","불검출","적합"
"130","금박","교토부","2017-10-30","0","불검출","불검출","적합"
"131","양념젓갈","가나가와현","2017-11-07","360","불검출","불검출","적합"
"132","식초절임","나가노현","2017-11-06","1,050","불검출","불검출","적합"
"133","장류절임","나가노현","2017-11-06","200","불검출","불검출","적합"
"134","장류절임","가고시마현","2017-11-10","710","불검출","불검출","적합"
"135","인스턴트커피","오사카부","2017-10-23","120","불검출","불검출","적합"
"136","혼합제제","효고현","2017-11-06","370","불검출","불검출","적합"
