"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"60","캔디류(캐러멜)","훗카이도","2017-09-30","50","불검출","불검출","적합"
"61","초콜릿가공품","야마가타현","2017-10-10","7,560","불검출","불검출","적합"
"62","캔디류(캐러멜)","훗카이도","2017-08-31","50","불검출","불검출","적합"
"63","초콜릿가공품","오사카부","2017-09-06","178","불검출","불검출","적합"
"64","과자(스낵과자)","나가노현","2017-11-08","1,390","불검출","불검출","적합"
"65","건어포류","가고시마현","2017-09-28","571","불검출","불검출","적합"
"66","건어포류","시즈오카현","2017-10-10","1,150","불검출","불검출","적합"
"67","빵류(케이크)","나가노현","2017-11-08","1,216","불검출","불검출","적합"
"68","트랜스글루코시
다아제","시가현","2017-11-09","112","불검출","불검출","적합"
"69","풀루란","오카야마현","2017-10-10","120","불검출","불검출","적합"
"70","당류가공품","오카야마현","2017-09-12","32,000","불검출","불검출","적합"
"71","빵류(케이크)","나가노현","2017-11-08","964","불검출","불검출","적합"
"72","맥주","오이타현","2017-10-16","32,844","불검출","불검출","적합"
"73","카레","나가노현","2017-09-13","5,346","불검출","불검출","적합"
"74","과자(스낵과자)","나가노현","2017-11-08","176","불검출","불검출","적합"
"75","과자(스낵과자)","나가노현","2017-11-08","110","불검출","불검출","적합"
"76","카레","나가노현","2017-09-01","3,564","불검출","불검출","적합"
"77","혼합제제","사이타마현","2017-10-24","162","불검출","불검출","적합"
"78","혼합제제","사이타마현","2017-11-06","18","불검출","불검출","적합"
"79","과자(스낵과자)","사이타마현","2017-06-21","1,260","불검출","불검출","적합"
"80","고형차","교토부","2017-11-01","500","불검출","불검출","적합"
"81","고형차","교토부","2017-11-01","1,500","불검출","불검출","적합"
"82","빵류(그외 빵류)","나가노현","2017-11-08","165","불검출","불검출","적합"
"83","과자(스낵과자)","사이타마현","2017-06-07","2,889","불검출","불검출","적합"
"84","고형차","아이치현","2017-10-26","2,880","불검출","불검출","적합"
