"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","42,152","-","-","-"
"1","냉동멸치","오사카부","2016-08-01","23,250","불검출","불검출","적합"
"2","냉장홍어","홋카이도","2016-08-01","3,643","불검출","불검출","적합"
"3","냉장명태","홋카이도","2016-08-01","1,235","불검출","불검출","적합"
"4","냉장갈치","에히메현","2016-08-01","80","불검출","불검출","적합"
"5","냉장갈치","효고현","2016-08-01","210","불검출","불검출","적합"
"6","냉장갈치","오이타현","2016-08-01","470","불검출","불검출","적합"
"7","냉동갈치","에히메현","2016-08-01","2,400","불검출","불검출","적합"
"8","냉동민어(수조기)","야마구치현","2016-08-01","840","불검출","불검출","적합"
"9","냉동돔(황돔)","후쿠오카현","2016-08-01","620","불검출","불검출","적합"
"10","냉동돔(황돔)","나가사키현","2016-08-01","9,404","불검출","불검출","적합"
