"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","26건","","","188,584","-","-","-"
"1","활돔(참돔)","에히메현","2014-06-03","11,576","불검출","불검출","적합"
"2","활돔(쥐돔)","고치현","2014-06-03","489","불검출","불검출","적합"
"3","활돔(쥐돔)","고치현","2014-06-03","1,287","불검출","불검출","적합"
"4","냉장민어(수조기)","가가와현","2014-06-03","196","불검출","불검출","적합"
"5","냉장명태","홋카이도","2014-06-03","2,434","불검출","불검출","적합"
"6","냉동멸치","돗토리현","2014-06-03","96,000","불검출","불검출","적합"
"7","냉장명태","홋카이도","2014-06-03","4,256","불검출","불검출","적합"
"8","냉장홍어","홋카이도","2014-06-03","1,355","불검출","불검출","적합"
"9","냉장홍어","홋카이도","2014-06-03","510","불검출","불검출","적합"
"10","냉장갈치","와카야마현 2014-06-03","","1,824","불검출","불검출","적합"
"11","냉장갈치","와카야마현 2014-06-03","","1,472","불검출","불검출","적합"
"12","냉장갈치","와카야마현 2014-06-03","","2,352","불검출","불검출","적합"
"13","냉장명태","홋카이도","2014-06-03","5,500","불검출","불검출","적합"
"14","냉장가오리","야마구치현 2014-06-03","","240","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2014-06-03","7,172","불검출","불검출","적합"
"16","활가리비","홋카이도","2014-06-03","6,894","불검출","불검출","적합"
"17","활가리비","홋카이도","2014-06-03","6,971","불검출","불검출","적합"
"18","활해삼","니가타현","2014-06-03","1,950","불검출","불검출","적합"
"19","활가리비","홋카이도","2014-06-03","6,692","불검출","불검출","적합"
"20","활가리비","홋카이도","2014-06-03","6,722","불검출","불검출","적합"
"21","활가리비","홋카이도","2014-06-03","14,000","불검출","불검출","적합"
"22","활해삼","니가타현","2014-06-03","910","불검출","불검출","적합"
"23","활낙지","효고현","2014-06-03","110","불검출","불검출","적합"
"24","냉장준치","구마모토현 2014-06-03","","525","불검출","불검출","적합"
"25","냉장갈치","와카야마현 2014-06-03","","424","불검출","불검출","적합"
"26","활가리비","홋카이도","2014-06-03","6,723","불검출","불검출","적합"
