"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","64건","","475,029","","",""
"1","향신료조제품","오사카부","2014-03-19","7.2","불검출","불검출","적합"
"2","혼합제제","사이타마현","2014-04-09","1,200","불검출","불검출","적합"
"3","당류가공품","오카야마현","2014-04-28","400","불검출","불검출","적합"
"4","혼합제제","사이타마현","2014-04-25","170","불검출","불검출","적합"
"5","과자(크래커)","오사카부","2014-04-07","331.2","불검출","불검출","적합"
"6","드레싱","사가현","2014-04-24","1,170","불검출","불검출","적합"
"7","혼합제제","가나가와현","2014-03-18","500","불검출","불검출","적합"
"8","아연","시즈오카현","2014-04-19","233","불검출","불검출","적합"
"9","건어포류","오사카부","2014-05-12","800","불검출","불검출","적합"
"10","수산물가공품","가고시마현","2014-03-07","50","불검출","불검출","적합"
"11","수산물가공품","훗카이도","2014-04-30","650","불검출","불검출","적합"
"12","혼합장","훗카이도","2014-05-01","1,071","불검출","불검출","적합"
"13","소스류","니가타현","2014-05-02","955.98","불검출","불검출","적합"
"14","소스류","니가타현","2014-04-22","4,824","불검출","불검출","적합"
"15","유탕면류","기후현","2014-03-04","14.4","불검출","불검출","적합"
"16","청주","이바라키현","2014-04-30","1,461.24","불검출","불검출","적합"
"17","청주","이바라키현","2014-04-30","1,425.6","불검출","불검출","적합"
"18","청주","니가타현","2014-05-07","1,237.1","불검출","불검출","적합"
"19","청주","니가타현","2014-05-07","613.44","불검출","불검출","적합"
"20","청주","니가타현","2014-04-09","396","불검출","불검출","적합"
"21","청주","니가타현","2014-04-30","426.67","불검출","불검출","적합"
