"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"12","식용유지가공품","시즈오카현","2015-05-28","30.08","불검출","불검출","적합"
"13","과자(웨이퍼)","오사카부","2015-07-13","12.96","불검출","불검출","적합"
"14","과자(웨이퍼)","오사카부","2015-07-16","21.6","불검출","불검출","적합"
"15","소스류","히로시마현","2015-06-24","108","불검출","불검출","적합"
"16","소스류","군마현","2015-05-18","720","불검출","불검출","적합"
"17","소스류","히로시마현","2015-07-01","288","불검출","불검출","적합"
"18","소스류","히로시마현","2015-07-07","144","불검출","불검출","적합"
"19","어묵","야마구치현","2015-07-18","2,200","불검출","불검출","적합"
"20","수산물가공품","아이치현","2015-07-03","8,100","불검출","불검출","적합"
"21","초콜릿가공품","니가타현","2015-07-21","158.4","불검출","불검출","적합"
"22","백설탕","후쿠오카현","2015-04-13","100","불검출","불검출","적합"
"23","초콜릿가공품","아이치현","2015-07-21","1,078.8","불검출","불검출","적합"
"24","초콜릿가공품","야마나시현","2015-07-16","45.14","불검출","불검출","적합"
"25","초콜릿가공품","이바라키현","2015-05-01","1,296","불검출","불검출","적합"
"26","맥주","후쿠오카현","2015-07-01","349,200","불검출","불검출","적합"
"27","수산물가공품","후쿠시마현","2015-05-28","60","불검출","불검출","적합"
"28","맥주","후쿠오카현","2015-07-16","349,200","불검출","불검출","적합"
"29","혼합제제","시즈오카현","2015-07-16","100","불검출","불검출","적합"
"30","청주","니가타현","2015-07-07","864","불검출","불검출","적합"
"31","청주","니가타현","2015-07-13","432","불검출","불검출","적합"
"32","청주","니가타현","2015-07-03","151.2","불검출","불검출","적합"
"33","청주","니가타현","2015-05-27","60","불검출","불검출","적합"
"34","당류가공품","오카야마현","2015-05-26","17,440","불검출","불검출","적합"
"35","건어포류","교토부","2015-07-22","1,020","불검출","불검출","적합"
"36","맥주","후쿠오카현","2015-07-08","52,380","불검출","불검출","적합"
"37","건어포류","교토부","2015-07-23","100","불검출","불검출","적합"
"38","건어포류","교토부","2015-07-22","155","불검출","불검출","적합"
"39","국수","아키타현","2015-06-11","144","불검출","불검출","적합"
"40","맥주","후쿠오카현","2015-07-08","52,380","불검출","불검출","적합"
"41","캔디류(사탕)","후쿠시마현","2015-06-25","201.6","불검출","불검출","적합"
