"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건20","-","-","63,872","-","-","-"
"1","활우렁쉥이","홋카이도","2016-01-07","18,060","불검출","불검출","적합"
"2","냉장준치","야마구치현","2016-01-07","68","불검출","불검출","적합"
"3","냉장가오리","야마구치현","2016-01-07","230","불검출","불검출","적합"
"4","냉장홍어","야마구치현","2016-01-07","80","불검출","불검출","적합"
"5","활꼬막","사가현","2016-01-07","560","불검출","불검출","적합"
"6","활꼬막 새꼬막
(
)","사가현","2016-01-07","4,500","불검출","불검출","적합"
"7","활꼬막 새꼬막
(
)","후쿠오카현","2016-01-07","5,360","불검출","불검출","적합"
"8","활꼬막","사가현","2016-01-07","400","불검출","불검출","적합"
"9","활꼬막 새꼬막
(
)","사가현","2016-01-07","3,400","불검출","불검출","적합"
"10","냉동돔 황돔(
)","후쿠오카현","2016-01-07","8,200","불검출","불검출","적합"
"11","냉동돔 황돔(
)","야마구치현","2016-01-07","710","불검출","불검출","적합"
"12","냉동민어 수조기
(
)","야마구치현","2016-01-07","400","불검출","불검출","적합"
"13","냉장갈치","오이타현","2016-01-07","55","불검출","불검출","적합"
"14","냉장갈치","가나가와현","2016-01-07","2,000","불검출","불검출","적합"
"15","냉장돔 황돔(
)","나가사키현","2016-01-07","96","불검출","불검출","적합"
"16","냉동가오리","에히메현","2016-01-07","15,320","불검출","불검출","적합"
"17","냉장갈치","가나가와현","2016-01-07","3,088","불검출","불검출","적합"
