"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"14","냉장갈치","히로시마현","2016-01-08","402","불검출","불검출","적합"
"15","냉장갈치","후쿠오카현","2016-01-08","235","불검출","불검출","적합"
"16","냉장돔 황돔(
)","나가사키현","2016-01-08","64","불검출","불검출","적합"
"17","냉장명태","홋카이도","2016-01-08","3,826","불검출","불검출","적합"
"18","냉장명태","홋카이도","2016-01-08","3,000","불검출","불검출","적합"
"19","냉장갈치","오이타현","2016-01-08","35","불검출","불검출","적합"
"20","냉장명태","홋카이도","2016-01-08","2,500","불검출","불검출","적합"
"21","냉장명태","홋카이도","2016-01-08","2,500","불검출","불검출","적합"
"22","활우렁쉥이","홋카이도","2016-01-08","4,765","불검출","불검출","적합"
"23","냉장갈치","오이타현","2016-01-08","890","불검출","불검출","적합"
"24","활우렁쉥이","홋카이도","2016-01-08","4,440","불검출","불검출","적합"
"25","냉장돔 참돔(
)","후쿠오카현","2016-01-08","80","불검출","불검출","적합"
"26","냉장준치","구마모토현","2016-01-08","315","불검출","불검출","적합"
"27","냉장갈치","에히메현","2016-01-08","130","불검출","불검출","적합"
"28","냉장갈치","오이타현","2016-01-08","2,615","불검출","불검출","적합"
