"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건13","-","-","2,869,986","-","-","-"
"1","냉동명태","러시아","2015-10-22","994,827","불검출","불검출","적합"
"2","냉동가자미
(
각시가자미
)","러시아","2015-10-22","23,500","불검출","불검출","적합"
"3","냉동명태","러시아","2015-10-22","1,002,524","불검출","불검출","적합"
"4","냉동가자미","러시아","2015-10-22","2,946","불검출","불검출","적합"
"5","냉동고등어(F)","중국","2015-10-22","2,400","불검출","불검출","적합"
"6","냉동꽁치","대만","2015-10-22","69,790","불검출","불검출","적합"
"7","냉동명태","러시아","2015-10-22","402,738","불검출","불검출","적합"
"8","냉동다랑어
(
눈다랑어 횟감
,F,
)","피지","2015-10-22","741","불검출","불검출","적합"
"9","냉동다랑어
(
눈다랑어 횟감
,F,
)","중국","2015-10-22","1,735","불검출","불검출","적합"
"10","마른해삼
(
자숙 썰은
,
)","중국
홍콩(
)","2015-10-22","230","불검출","불검출","적합"
"11","냉동명태(F)","러시아","2015-10-22","18,750","불검출","불검출","적합"
"12","냉동가자미","러시아","2015-10-22","774","불검출","불검출","적합"
"13","냉동명태","러시아","2015-10-22","349,031","불검출","불검출","적합"
