"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 145건","","","","388,137","","",""
"1","청주","야마가타현","2019-06-21","582","불검출","불검출","적합"
"2","소스","사이타마현","2019-06-03","277","불검출","불검출","적합"
"3","가공두부","후쿠오카현","2019-06-29","9,000","불검출","불검출","적합"
"4","청주","아이치현","2019-06-25","1,652","불검출","불검출","적합"
"5","기타가공품","시즈오카현","2019-03-04","6,075","불검출","불검출","적합"
"6","청주","아이치현","2019-06-25","1,652","불검출","불검출","적합"
"7","소주","구마모토현","2019-04-16","86","불검출","불검출","적합"
"8","소주","구마모토현","2019-01-09","540","불검출","불검출","적합"
"9","볶은커피","효고현","2019-06-24","8,982","불검출","불검출","적합"
"10","볶은커피","효고현","2019-06-25","11,970","불검출","불검출","적합"
"11","볶은커피","효고현","2019-06-24","3,072","불검출","불검출","적합"
"12","볶은커피","사이타마현","2019-04-22","240","불검출","불검출","적합"
"13","볶은커피","사이타마현","2019-05-24","1,200","불검출","불검출","적합"
"14","볶은커피","시즈오카현","2019-04-04","300","불검출","불검출","적합"
"15","볶은커피","시즈오카현","2019-04-26","300","불검출","불검출","적합"
