"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","146,371","-","-","-"
"1","활돔(참돔)","에히메현","2016-12-30","5,096","불검출","불검출","적합"
"2","활돔(돌돔)","에히메현","2016-12-30","452","불검출","불검출","적합"
"3","활방어","에히메현","2016-12-30","3,765","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2016-12-30","4,882","불검출","불검출","적합"
"5","활돔(돌돔)","에히메현","2016-12-30","994","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-12-30","5,200","불검출","불검출","적합"
"7","냉장홍어","홋카이도","2016-12-30","4,819","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-12-30","2,824","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-12-30","4,354","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2016-12-30","4,281","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-12-30","1,200","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-12-30","3,412","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-12-30","3,400","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-12-30","2,836","불검출","불검출","적합"
"15","냉장명태","홋카이도","2016-12-30","3,670","불검출","불검출","적합"
"16","냉장명태","홋카이도","2016-12-30","8,300","불검출","불검출","적합"
