"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"183","청주","야마가타현","2016-11-15","144","불검출","불검출","적합"
"184","당류가공품","교토부","2016-10-11","140","불검출","불검출","적합"
"185","캔디류(사탕)","나라현","2016-12-05","126","불검출","불검출","적합"
"186","혼합제제","효고현","2016-12-20","4","불검출","불검출","적합"
"187","캔디류(양갱)","지바현","2016-11-12","42","불검출","불검출","적합"
"188","청주","효고현","2016-10-13","270","불검출","불검출","적합"
"189","과자(한과류)","나가노현","2016-11-30","442","불검출","불검출","적합"
"190","캔디류(사탕)","아이치현","2016-11-22","60","불검출","불검출","적합"
"191","어묵","사가현","2016-12-01","588","불검출","불검출","적합"
"192","캔디류(사탕)","아이치현","2016-12-19","1,188","불검출","불검출","적합"
"193","액상커피","미에현","2016-11-09","972","불검출","불검출","적합"
"194","맥주","후쿠오카현","2016-11-08","122,220","불검출","불검출","적합"
"195","청주","시즈오카현","2016-12-02","349","불검출","불검출","적합"
"196","캔디류(사탕)","미에현","2016-11-24","338","불검출","불검출","적합"
"197","과자(스낵과자)","나가노현","2016-12-05","360","불검출","불검출","적합"
"198","청주","후쿠이현","2016-10-19","26","불검출","불검출","적합"
"199","튀김식품","오사카부","2016-08-18","96","불검출","불검출","적합"
"200","액상차","후쿠이현","2016-08-26","2,460","불검출","불검출","적합"
"201","과자(스낵과자)","니가타현","2016-12-06","816","불검출","불검출","적합"
"202","카레","나가노현","2016-09-01","4,455","불검출","불검출","적합"
"203","초콜릿가공품","훗카이도","2016-11-30","8","불검출","불검출","적합"
"204","어묵","사가현","2016-12-01","1,056","불검출","불검출","적합"
"205","효모추출물제품","오이타현","2016-11-25","2,000","불검출","불검출","적합"
"206","소스류","히로시마현","2016-11-30","1,980","불검출","불검출","적합"
"207","과자(스낵과자)","고치현","2016-11-01","62","불검출","불검출","적합"
"208","조미된장","아이치현","2016-11-07","4,000","불검출","불검출","적합"
