"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","870,021","-","-","-"
"1","냉동꽁치","대만","2016-12-29","227,672","불검출","불검출","적합"
"2","냉동꽁치","대만","2016-12-29","63,412","불검출","불검출","적합"
"3","냉동상어
(흑기흉상어)","대만","2016-12-29","23,091","불검출","불검출","적합"
"4","냉동꽁치","대만","2016-12-29","163,586","불검출","불검출","적합"
"5","냉동꽁치","대만","2016-12-29","48,760","불검출","불검출","적합"
"6","냉동가자미
(각시가자미)","미국","2016-12-29","22,000","불검출","불검출","적합"
"7","냉동명태(F)","러시아","2016-12-29","20,700","불검출","불검출","적합"
"8","냉동다랑어
(눈다랑어,F,횟감)","대만","2016-12-29","888","불검출","불검출","적합"
"9","냉동꽁치","대만","2016-12-29","22,100","불검출","불검출","적합"
"10","염장큰실말","통가","2016-12-29","3,000","불검출","불검출","적합"
"11","냉동꽁치","대만","2016-12-29","21,460","불검출","불검출","적합"
"12","냉동꽁치","대만","2016-12-29","205,995","불검출","불검출","적합"
"13","냉동명태(F)","러시아","2016-12-29","22,077","불검출","불검출","적합"
"14","냉동가자미
(각시가자미)","러시아","2016-12-29","22,280","불검출","불검출","적합"
"15","냉동대구(F)","러시아","2016-12-29","3,000","불검출","불검출","적합"
