"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","122,685","-","-","-"
"1","냉동가자미","러시아","2016-08-23","6,988","불검출","불검출","적합"
"2","냉동대구","러시아","2016-08-23","1,569.5","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2016-08-23","19,344","불검출","불검출","적합"
"4","냉동상어
(흑기흉상어)","대만","2016-08-23","1,021","불검출","불검출","적합"
"5","냉동상어
(청상아리)","대만","2016-08-23","24,750","불검출","불검출","적합"
"6","냉동대구(F)","러시아","2016-08-23","3,000","불검출","불검출","적합"
"7","냉동대구","러시아","2016-08-23","1,612.5","불검출","불검출","적합"
"8","냉동명태(F)","러시아","2016-08-23","14,400","불검출","불검출","적합"
"9","냉동명태(F)","러시아","2016-08-23","24,000","불검출","불검출","적합"
"10","냉동대구(F)","러시아","2016-08-23","2,000","불검출","불검출","적합"
"11","냉동명태(F)","러시아","2016-08-23","24,000","불검출","불검출","적합"
