"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","167,650.2","-","-","-"
"1","활가리비","홋카이도","2017-02-08","7,000","불검출","불검출","적합"
"2","활가리비","홋카이도","2017-02-08","7,000","불검출","불검출","적합"
"3","활가리비","홋카이도","2017-02-08","7,475","불검출","불검출","적합"
"4","냉동갈치","가나가와현","2017-02-08","21,528","불검출","불검출","적합"
"5","냉동기름치","태평양","2017-02-08","10,710","불검출","불검출","적합"
"6","활우렁쉥이","홋카이도","2017-02-08","7,967","불검출","불검출","적합"
"7","활장어(먹장어)","나가사키현","2017-02-08","605","불검출","불검출","적합"
"8","활장어(먹장어)","나가사키현","2017-02-08","1,715","불검출","불검출","적합"
"9","활가리비","홋카이도","2017-02-08","7,021","불검출","불검출","적합"
"10","냉장명태","홋카이도","2017-02-08","2,470","불검출","불검출","적합"
"11","냉장명태","홋카이도","2017-02-08","4,000","불검출","불검출","적합"
"12","냉장갈치","에히메현","2017-02-08","1,713","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2017-02-08","885","불검출","불검출","적합"
"14","냉장갈치","도쿠시마현","2017-02-08","48","불검출","불검출","적합"
"15","냉장명태","홋카이도","2017-02-08","3,170","불검출","불검출","적합"
