"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","142,468","-","-","-"
"1","활돔(참돔)","에히메현","2017-02-07","2,961","불검출","불검출","적합"
"2","활방어","오이타현","2017-02-07","1,983","불검출","불검출","적합"
"3","활방어","오이타현","2017-02-07","3,958","불검출","불검출","적합"
"4","활방어","에히메현","2017-02-07","1,488","불검출","불검출","적합"
"5","활돔(벵에돔)","에히메현","2017-02-07","495","불검출","불검출","적합"
"6","활돔(참돔)","에히메현","2017-02-07","6,004","불검출","불검출","적합"
"7","활방어","에히메현","2017-02-07","13,751","불검출","불검출","적합"
"8","활방어","에히메현","2017-02-07","11,612","불검출","불검출","적합"
"9","활돔(벵에돔)","에히메현","2017-02-07","1,890","불검출","불검출","적합"
"10","냉장명태","홋카이도","2017-02-07","1,854","불검출","불검출","적합"
"11","냉장갈치","나가사키현","2017-02-07","353","불검출","불검출","적합"
"12","냉장갈치","에히메현","2017-02-07","871","불검출","불검출","적합"
"13","냉장갈치","후쿠오카현","2017-02-07","1,412","불검출","불검출","적합"
"14","냉장갈치","후쿠오카현","2017-02-07","245","불검출","불검출","적합"
"15","냉장갈치","효고현","2017-02-07","2,768","불검출","불검출","적합"
