"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","1,877,795.5","-","-","-"
"1","냉동다랑어
(눈다랑어,F,횟감)","중국","2017-02-08","640","불검출","불검출","적합"
"2","냉동대구","러시아","2017-02-08","66,586","불검출","불검출","적합"
"3","냉동명태","러시아","2017-02-08","511,679","불검출","불검출","적합"
"4","냉동곤이(명태)","러시아","2017-02-08","18,383","불검출","불검출","적합"
"5","냉동명태","러시아","2017-02-08","835,361","불검출","불검출","적합"
"6","냉동곤이(명태)","러시아","2017-02-08","16,987.5","불검출","불검출","적합"
"7","냉동꽁치","대만","2017-02-08","111,600","불검출","불검출","적합"
"8","냉동꽁치","대만","2017-02-08","269,451","불검출","불검출","적합"
"9","냉동가자미","러시아","2017-02-08","12,578","불검출","불검출","적합"
"10","냉동명태","러시아","2017-02-08","2,112","불검출","불검출","적합"
"11","냉동대구","러시아","2017-02-08","7,880","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2017-02-08","19,700","불검출","불검출","적합"
"13","냉동상어
(청상아리)","대만","2017-02-08","2,052","불검출","불검출","적합"
"14","냉동상어
(청새리상어)","대만","2017-02-08","2,786","불검출","불검출","적합"
