"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건34","-","-","111,210","-","-","-"
"1","활가리비","홋카이도","2016-02-17","7,000","불검출","불검출","적합"
"2","활가리비","홋카이도","2016-02-17","6,500","불검출","불검출","적합"
"3","활장어 먹장어
(
)","나가사키현","2016-02-17","2,323","불검출","불검출","적합"
"4","냉장병어","나가사키현","2016-02-17","100","불검출","불검출","적합"
"5","냉동다랑어
(
눈다랑어 횟감
,F,
)","인도양","2016-02-17","102","불검출","불검출","적합"
"6","냉장홍어","홋카이도","2016-02-17","3,498","불검출","불검출","적합"
"7","냉동다랑어
(
눈다랑어 횟감
,F,
)","태평양","2016-02-17","219","불검출","불검출","적합"
"8","냉동다랑어
(
눈다랑어목살횟감
,
,
)","인도양","2016-02-17","165","불검출","불검출","적합"
"9","냉동다랑어
(
눈다랑어목살횟감
,
,
)","태평양","2016-02-17","770","불검출","불검출","적합"
"10","냉장돔 황돔(
)","야마구치현","2016-02-17","115","불검출","불검출","적합"
"11","냉장홍어","야마구치현","2016-02-17","90","불검출","불검출","적합"
"12","냉장갈치","야마구치현","2016-02-17","424","불검출","불검출","적합"
"13","활가리비","홋카이도","2016-02-17","14,231","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-02-17","2,873","불검출","불검출","적합"
"15","냉장명태","홋카이도","2016-02-17","1,150","불검출","불검출","적합"
"16","활대합 북방대합
(
)","홋카이도","2016-02-17","908","불검출","불검출","적합"
